ID,RA,Dec,z,Category,Ha_in,n_spaxels,n_disk,n_spaxels_disk,flux_spaxels,flux_disk,flux_spaxels_disk,sn_5635,sn_4050,bad_sinopsis,bad_contours,bad_gband,nad_notch,mag_disk,sinopsis_fraction,sinopsis_fraction_flag
A2744_01,00:14:19.754,-30:23:57.83,0.2919,Post-Starburst,True,740.0,71.0,51.0,1547.52685546875,243.9502410888672,198.02362060546875,13.738192558288574,18.361164093017578,False,False,False,False,23.229854430930263,0.7183098591549296,True
A2744_02,00:14:20.175,-30:23:56.77,0.3202,Post-Starburst,True,70.0,91.0,70.0,389.447998046875,430.2969970703125,389.447998046875,33.75629806518555,18.062715530395508,False,False,False,False,22.613686771887632,0.7692307692307693,True
A2744_03,00:14:24.941,-30:23:46.45,0.3026,Jellyfish,True,47.0,23.0,23.0,24.8795166015625,18.976512908935547,18.976512908935547,0.6041200160980225,1.6242644786834717,False,False,False,False,26.002566534495624,1.0,True
A2744_04,00:14:21.4,-30:23:02.06,0.2941,Jellyfish,True,61.0,15.0,15.0,39.63618469238281,18.258451461791992,18.258451461791992,1.9544605016708374,2.996450185775757,False,False,False,False,26.044447706755424,1.0,True
A2744_05,00:14:18.806,-30:23:13.48,0.3077,Post-Starburst,True,77.0,108.0,53.0,493.2109680175781,474.54803466796875,389.9774475097656,16.230628967285156,17.095500946044922,False,False,False,False,22.50740711226777,0.49074074074074076,False
A2744_06,00:14:19.44,-30:23:26.96,0.2933,Jellyfish,True,715.0,294.0,292.0,2696.05029296875,2075.94580078125,2074.53564453125,30.262332916259766,32.75370788574219,False,False,False,False,20.90506753336519,0.9931972789115646,True
A2744_07,00:14:20.474,-30:23:15.10,0.2999,Post-Starburst,True,262.0,326.0,218.0,1476.1051025390625,1562.3173828125,1460.3294677734375,25.008581161499023,18.460081100463867,False,False,False,False,21.213684397847427,0.6687116564417178,True
A2744_08,00:14:18.9755,-30:24:00.287,0.3055,Post-Starburst,True,42.0,103.0,41.0,133.67999267578125,201.5545654296875,132.3809814453125,14.048187255859375,12.930131912231445,False,False,False,False,23.437125960447975,0.39805825242718446,False
A2744_09,00:14:22.393,-30:23:03.65,0.2956,Jellyfish,True,738.0,311.0,311.0,2354.9326171875,1991.193359375,1991.193359375,32.92027282714844,33.91404724121094,False,False,False,False,20.950323971972967,1.0,True
A2744_10,00:14:25.056,-30:23:05.86,0.2958,Jellyfish,True,379.0,121.0,120.0,652.8414306640625,462.75555419921875,461.63165283203125,17.837833404541016,17.06775665283203,False,False,False,False,22.53472845992046,0.9917355371900827,True
A2744_11,00:14:22.36,-30:23:25.3,0.3015,Quiescent,True,50.0,81.0,42.0,120.69415283203125,158.56930541992188,116.42918395996094,9.28604507446289,9.830917358398438,False,False,False,False,23.697559750405752,0.5185185185185185,True
A2744_12,00:14:23.10,-30:23:18.7,0.2968,Quiescent,True,83.0,48.0,27.0,199.1666259765625,87.6545639038086,61.870933532714844,8.412384986877441,7.533019542694092,False,False,False,False,24.341171226558398,0.5625,True
A2744_13,00:14:20.09,-30:23:04.8,0.3033,Quiescent,True,133.0,194.0,129.0,567.65234375,639.5486450195312,564.9610595703125,20.572324752807617,13.437417030334473,False,False,False,False,22.183423602167412,0.6649484536082474,True
A2744_14,00:14:17.61,-30:23:10.8,0.3083,Jellyfish,True,180.0,101.0,83.0,717.3702392578125,368.5309143066406,345.765380859375,22.6436824798584,14.080641746520996,False,False,False,False,22.78192274849552,0.8217821782178217,True
A2744_15,00:14:17.70,-30:23:09.5,0.2969,Quiescent,True,670.0,113.0,113.0,1142.794677734375,376.666015625,376.666015625,22.02712059020996,13.545517921447754,False,False,False,False,22.758216464763144,1.0,True
A2744_16,00:14:25.05,-30:23:05.9,0.296,Jellyfish,True,365.0,98.0,98.0,660.0656127929688,434.32861328125,434.32861328125,19.15081214904785,18.004045486450195,False,False,False,False,22.603561456709237,1.0,True
A2744_17,00:14:25.94,-30:23:13.4,0.2966,Quiescent,True,40.0,40.0,0.0,120.21246337890625,76.08097839355469,,5.139755725860596,6.7499871253967285,False,False,False,False,24.494917337683688,0.0,False
A2744_18,00:14:22.43,-30:23:15.3,0.2961,Quiescent,True,50.0,62.0,50.0,94.26578521728516,101.5567626953125,94.26578521728516,4.9242353439331055,8.518366813659668,False,False,False,False,24.18133543879357,0.8064516129032258,True
A2744_19,00:14:20.57,-30:24:50.3,0.3027,Quiescent,True,113.0,101.0,101.0,194.48484802246094,190.03602600097656,190.03602600097656,17.711660385131836,9.523250579833984,False,False,False,False,23.501017710166682,1.0,True
A2744_20,00:14:16.70,-30:24:43.8,0.2969,Quiescent,True,370.0,206.0,206.0,688.708984375,625.1848754882812,625.1848754882812,21.092060089111328,13.800204277038574,False,False,False,False,22.208086402565527,1.0,True
A2744_21,00:14:21.28,-30:23:45.9,0.3025,Cluster Control,True,358.0,133.0,107.0,2714.57861328125,1073.0869140625,1009.810546875,41.185184478759766,18.751440048217773,False,False,False,False,21.621520312991827,0.8045112781954887,True
A2744_22,00:14:20.40,-30:23:34.3,0.2958,Cluster Control,True,125.0,103.0,76.0,513.535888671875,466.61236572265625,433.1676940917969,27.682785034179688,14.63497257232666,False,False,False,False,22.525716950366018,0.7378640776699029,True
A2744_23,00:14:19.29,-30:23:31.9,0.294,Cluster Control,True,222.0,140.0,136.0,432.7169494628906,388.3515625,386.6304931640625,22.75216293334961,13.862417221069336,False,False,False,False,22.725044917948853,0.9714285714285714,True
