,Wavelength,Flux,Contour Limit
0,3833.682893841808,2.7963275e-18,1.5
1,3834.69177196933,2.6843367e-18,1.5
2,3835.7006500968523,2.0071995e-18,1.5
3,3836.7095282243745,2.299921e-18,1.5
4,3837.7184063518966,1.9929486e-18,1.5
5,3838.727284479419,2.0581633e-18,1.5
6,3839.736162606941,2.073024e-18,1.5
7,3840.745040734463,2.1412925e-18,1.5
8,3841.7539188619858,2.6352012e-18,1.5
9,3842.762796989508,2.3944434e-18,1.5
10,3843.77167511703,1.673435e-18,1.5
11,3844.7805532445523,2.1550071e-18,1.5
12,3845.7894313720744,2.4374883e-18,1.5
13,3846.7983094995966,2.9904796e-18,1.5
14,3847.8071876271188,2.641439e-18,1.5
15,3848.816065754641,2.4394346e-18,1.5
16,3849.824943882163,2.6576567e-18,1.5
17,3850.8338220096853,2.1732303e-18,1.5
18,3851.8427001372074,2.1554606e-18,1.5
19,3852.8515782647296,2.2936767e-18,1.5
20,3853.8604563922518,2.0759078e-18,1.5
21,3854.869334519774,1.8311938e-18,1.5
22,3855.878212647296,2.1078605e-18,1.5
23,3856.8870907748187,1.8261102e-18,1.5
24,3857.895968902341,2.0585424e-18,1.5
25,3858.904847029863,2.6214092e-18,1.5
26,3859.913725157385,2.4902396e-18,1.5
27,3860.9226032849074,2.096913e-18,1.5
28,3861.9314814124295,1.80974e-18,1.5
29,3862.9403595399517,2.2710692e-18,1.5
30,3863.949237667474,3.0233143e-18,1.5
31,3864.958115794996,1.8148483e-18,1.5
32,3865.966993922518,2.6394996e-18,1.5
33,3866.9758720500404,1.90597e-18,1.5
34,3867.9847501775625,1.7924956e-18,1.5
35,3868.9936283050847,2.2770917e-18,1.5
36,3870.002506432607,1.6239458e-18,1.5
37,3871.011384560129,2.2781096e-18,1.5
38,3872.020262687651,1.7725083e-18,1.5
39,3873.029140815174,2.1239643e-18,1.5
40,3874.038018942696,1.7023532e-18,1.5
41,3875.046897070218,1.0859198e-18,1.5
42,3876.0557751977403,1.8892092e-18,1.5
43,3877.0646533252625,1.7175382e-18,1.5
44,3878.0735314527847,2.399165e-18,1.5
45,3879.082409580307,2.199629e-18,1.5
46,3880.091287707829,1.6236519e-18,1.5
47,3881.100165835351,2.2843062e-18,1.5
48,3882.1090439628733,2.5101056e-18,1.5
49,3883.1179220903955,2.0709211e-18,1.5
