,Wavelength,Flux,Contour Limit
0,4750.0,8.1787385e-19,1.5
1,4751.25,1.7029957e-19,1.5
2,4752.5,3.8184407e-19,1.5
3,4753.75,2.3790743e-19,1.5
4,4755.0,5.9793355e-19,1.5
5,4756.25,6.598494e-19,1.5
6,4757.5,6.2799206e-19,1.5
7,4758.75,5.5351633e-19,1.5
8,4760.0,1.5461021e-18,1.5
9,4761.25,1.0001613e-18,1.5
10,4762.5,1.0724702e-18,1.5
11,4763.75,7.64165e-19,1.5
12,4765.0,4.2649802e-19,1.5
13,4766.25,6.206333e-19,1.5
14,4767.5,7.1992817e-19,1.5
15,4768.75,9.081208e-19,1.5
16,4770.0,1.1138899e-18,1.5
17,4771.25,4.460312e-20,1.5
18,4772.5,4.677101e-19,1.5
19,4773.75,7.542125e-19,1.5
20,4775.0,7.2326036e-19,1.5
21,4776.25,1.0538187e-18,1.5
22,4777.5,7.393859e-19,1.5
23,4778.75,4.4900506e-19,1.5
24,4780.0,2.5129897e-19,1.5
25,4781.25,4.970452e-19,1.5
26,4782.5,5.3545893e-19,1.5
27,4783.75,4.879604e-19,1.5
28,4785.0,9.348805e-19,1.5
29,4786.25,3.9656308e-19,1.5
30,4787.5,1.1513425e-18,1.5
31,4788.75,1.474285e-18,1.5
32,4790.0,1.4493156e-18,1.5
33,4791.25,1.0086208e-18,1.5
34,4792.5,7.0664225e-19,1.5
35,4793.75,5.114651e-19,1.5
36,4795.0,7.008163e-19,1.5
37,4796.25,9.972554e-19,1.5
38,4797.5,1.1117576e-18,1.5
39,4798.75,3.8633982e-19,1.5
40,4800.0,7.0454716e-19,1.5
41,4801.25,5.3654517e-19,1.5
42,4802.5,5.895847e-19,1.5
43,4803.75,1.0137135e-18,1.5
44,4805.0,1.0047811e-18,1.5
45,4806.25,6.0998594e-19,1.5
46,4807.5,3.5469737e-19,1.5
47,4808.75,8.112743e-19,1.5
48,4810.0,4.583758e-19,1.5
49,4811.25,3.3453624e-19,1.5
50,4812.5,6.022582e-19,1.5
51,4813.75,1.1422758e-18,1.5
52,4815.0,6.842594e-19,1.5
53,4816.25,1.2944114e-18,1.5
54,4817.5,6.4231914e-19,1.5
55,4818.75,8.311798e-19,1.5
56,4820.0,1.3301604e-18,1.5
57,4821.25,6.662221e-19,1.5
58,4822.5,1.083288e-18,1.5
59,4823.75,1.1158326e-18,1.5
60,4825.0,1.3116352e-18,1.5
61,4826.25,7.725644e-19,1.5
62,4827.5,4.561449e-19,1.5
63,4828.75,5.6564316e-19,1.5
64,4830.0,1.6058586e-18,1.5
65,4831.25,8.2128214e-19,1.5
66,4832.5,5.606706e-19,1.5
67,4833.75,4.7380063e-19,1.5
68,4835.0,9.250771e-19,1.5
69,4836.25,1.3282542e-18,1.5
70,4837.5,8.855874e-19,1.5
71,4838.75,7.1476124e-19,1.5
72,4840.0,3.6084756e-19,1.5
73,4841.25,8.146241e-19,1.5
74,4842.5,5.606927e-19,1.5
75,4843.75,5.825218e-19,1.5
76,4845.0,9.817936e-19,1.5
77,4846.25,1.5186783e-18,1.5
78,4847.5,9.383481e-19,1.5
79,4848.75,3.745978e-19,1.5
80,4850.0,8.489556e-19,1.5
81,4851.25,3.233724e-19,1.5
82,4852.5,4.5835267e-19,1.5
83,4853.75,3.504498e-19,1.5
84,4855.0,5.1439907e-19,1.5
85,4856.25,8.069963e-19,1.5
86,4857.5,2.8030476e-19,1.5
87,4858.75,1.1394974e-18,1.5
88,4860.0,1.0750621e-18,1.5
89,4861.25,1.2241347e-18,1.5
90,4862.5,7.5184736e-19,1.5
91,4863.75,7.799117e-19,1.5
92,4865.0,9.454888e-19,1.5
93,4866.25,9.089347e-19,1.5
94,4867.5,8.3093405e-19,1.5
95,4868.75,1.0814597e-18,1.5
96,4870.0,4.415266e-19,1.5
97,4871.25,7.3974757e-19,1.5
98,4872.5,1.0227375e-18,1.5
99,4873.75,1.0451412e-18,1.5
100,4875.0,8.704902e-19,1.5
101,4876.25,6.284431e-19,1.5
102,4877.5,1.2182649e-18,1.5
103,4878.75,4.896367e-19,1.5
104,4880.0,4.9616614e-19,1.5
105,4881.25,1.0140918e-18,1.5
106,4882.5,8.4005263e-19,1.5
107,4883.75,1.3516787e-18,1.5
108,4885.0,1.1480565e-18,1.5
109,4886.25,8.859689e-19,1.5
110,4887.5,4.685083e-19,1.5
111,4888.75,6.945104e-19,1.5
112,4890.0,8.0364526e-19,1.5
113,4891.25,1.3566466e-18,1.5
114,4892.5,1.1612823e-18,1.5
115,4893.75,1.2786221e-18,1.5
116,4895.0,3.5654131e-19,1.5
117,4896.25,7.54957e-19,1.5
118,4897.5,8.0273665e-19,1.5
119,4898.75,9.011219e-19,1.5
120,4900.0,8.693033e-19,1.5
121,4901.25,7.232451e-19,1.5
122,4902.5,8.988936e-19,1.5
123,4903.75,7.1316716e-19,1.5
124,4905.0,9.336209e-19,1.5
125,4906.25,6.145035e-19,1.5
126,4907.5,1.2849116e-18,1.5
127,4908.75,1.0665721e-18,1.5
128,4910.0,1.0193826e-18,1.5
129,4911.25,4.565952e-19,1.5
130,4912.5,2.1705199e-19,1.5
131,4913.75,1.1600132e-18,1.5
132,4915.0,1.4278307e-18,1.5
133,4916.25,1.1360471e-18,1.5
134,4917.5,1.0934123e-18,1.5
135,4918.75,8.3692583e-19,1.5
136,4920.0,6.4350976e-19,1.5
137,4921.25,4.842594e-19,1.5
138,4922.5,1.5650202e-18,1.5
139,4923.75,1.0834758e-18,1.5
140,4925.0,8.428067e-19,1.5
141,4926.25,4.82383e-19,1.5
142,4927.5,9.513523e-19,1.5
143,4928.75,6.5348013e-19,1.5
144,4930.0,5.9492903e-19,1.5
145,4931.25,2.3880393e-21,1.5
146,4932.5,5.8223113e-19,1.5
147,4933.75,1.8392105e-19,1.5
148,4935.0,4.1006623e-19,1.5
149,4936.25,1.0881828e-18,1.5
150,4937.5,6.9653943e-19,1.5
151,4938.75,1.1341453e-18,1.5
152,4940.0,5.3157826e-19,1.5
153,4941.25,1.6862781e-19,1.5
154,4942.5,8.293329e-19,1.5
155,4943.75,8.5822134e-19,1.5
156,4945.0,3.816708e-19,1.5
157,4946.25,5.1387386e-19,1.5
158,4947.5,4.4447206e-19,1.5
159,4948.75,3.8966253e-19,1.5
160,4950.0,1.0461182e-18,1.5
161,4951.25,4.35343e-19,1.5
162,4952.5,1.1855717e-18,1.5
163,4953.75,5.041098e-19,1.5
164,4955.0,6.9023037e-19,1.5
165,4956.25,1.0936778e-18,1.5
166,4957.5,5.3748283e-19,1.5
167,4958.75,9.311726e-19,1.5
168,4960.0,1.1771312e-18,1.5
169,4961.25,8.959328e-19,1.5
170,4962.5,2.8102802e-19,1.5
171,4963.75,8.283397e-19,1.5
172,4965.0,3.9010564e-19,1.5
173,4966.25,6.8573283e-19,1.5
174,4967.5,9.657495e-19,1.5
175,4968.75,1.0093066e-18,1.5
176,4970.0,4.484051e-19,1.5
177,4971.25,1.0032912e-18,1.5
178,4972.5,8.002431e-19,1.5
179,4973.75,7.3728464e-19,1.5
180,4975.0,1.0096811e-18,1.5
181,4976.25,1.4896671e-18,1.5
182,4977.5,1.5983413e-18,1.5
183,4978.75,6.432845e-19,1.5
184,4980.0,7.89674e-19,1.5
185,4981.25,7.4914543e-19,1.5
186,4982.5,1.0429995e-18,1.5
187,4983.75,1.2584859e-18,1.5
188,4985.0,8.76251e-19,1.5
189,4986.25,1.2978885e-19,1.5
190,4987.5,5.2296323e-19,1.5
191,4988.75,2.3130322e-19,1.5
192,4990.0,1.676909e-19,1.5
193,4991.25,6.4478315e-19,1.5
194,4992.5,1.012853e-18,1.5
195,4993.75,7.9146544e-19,1.5
196,4995.0,1.3271831e-18,1.5
197,4996.25,6.3851643e-19,1.5
198,4997.5,4.8096727e-19,1.5
199,4998.75,3.1254544e-19,1.5
200,5000.0,2.766173e-19,1.5
201,5001.25,5.1261417e-19,1.5
202,5002.5,4.834329e-19,1.5
203,5003.75,8.05145e-19,1.5
204,5005.0,8.752438e-19,1.5
205,5006.25,3.992307e-19,1.5
206,5007.5,5.3680046e-19,1.5
207,5008.75,8.404803e-20,1.5
208,5010.0,3.435262e-19,1.5
209,5011.25,1.1286224e-18,1.5
210,5012.5,5.0280334e-19,1.5
211,5013.75,5.492341e-19,1.5
212,5015.0,5.1928253e-19,1.5
213,5016.25,6.529933e-19,1.5
214,5017.5,7.417251e-19,1.5
215,5018.75,8.420652e-19,1.5
216,5020.0,9.11948e-19,1.5
217,5021.25,9.937958e-19,1.5
218,5022.5,7.7160193e-19,1.5
219,5023.75,8.26757e-19,1.5
220,5025.0,3.802736e-19,1.5
221,5026.25,5.5501043e-19,1.5
222,5027.5,9.901722e-19,1.5
223,5028.75,1.0648208e-18,1.5
224,5030.0,1.0600093e-18,1.5
225,5031.25,8.647921e-20,1.5
226,5032.5,4.768359e-19,1.5
227,5033.75,5.028586e-19,1.5
228,5035.0,3.6409725e-19,1.5
229,5036.25,6.768959e-19,1.5
230,5037.5,3.2176276e-19,1.5
231,5038.75,6.6351006e-19,1.5
232,5040.0,8.143655e-19,1.5
233,5041.25,1.1517122e-18,1.5
234,5042.5,1.3452983e-18,1.5
235,5043.75,7.34164e-19,1.5
236,5045.0,7.2233066e-19,1.5
237,5046.25,7.941759e-19,1.5
238,5047.5,4.9704146e-19,1.5
239,5048.75,9.356001e-19,1.5
240,5050.0,2.08543e-19,1.5
241,5051.25,9.789963e-19,1.5
242,5052.5,5.802556e-19,1.5
243,5053.75,6.199904e-20,1.5
244,5055.0,4.788043e-19,1.5
245,5056.25,7.398022e-19,1.5
246,5057.5,9.706871e-19,1.5
247,5058.75,1.1363849e-18,1.5
248,5060.0,4.424017e-19,1.5
249,5061.25,8.3613407e-19,1.5
250,5062.5,6.0840106e-19,1.5
251,5063.75,2.7556664e-19,1.5
252,5065.0,5.3692976e-19,1.5
253,5066.25,2.808649e-19,1.5
254,5067.5,5.6149816e-19,1.5
255,5068.75,8.4360066e-19,1.5
256,5070.0,4.15124e-19,1.5
257,5071.25,5.2432844e-19,1.5
258,5072.5,6.1100704e-19,1.5
259,5073.75,2.1866393e-19,1.5
260,5075.0,5.2283047e-19,1.5
261,5076.25,8.114556e-19,1.5
