,Wavelength,Flux,Contour Limit
0,3493.6604189636164,1.250202e-18,1.5
1,3494.5791988239616,1.2737604e-18,1.5
2,3495.497978684307,1.2775845e-18,1.5
3,3496.416758544652,1.2826445e-18,1.5
4,3497.3355384049974,1.3816923e-18,1.5
5,3498.254318265343,1.4206972e-18,1.5
6,3499.173098125689,1.3116247e-18,1.5
7,3500.0918779860344,1.2607813e-18,1.5
8,3501.01065784638,1.2333822e-18,1.5
9,3501.9294377067254,1.1839654e-18,1.5
10,3502.848217567071,1.2695325e-18,1.5
11,3503.7669974274163,1.2792092e-18,1.5
12,3504.6857772877615,1.3121735e-18,1.5
13,3505.6045571481077,1.4256345e-18,1.5
14,3506.523337008453,1.401279e-18,1.5
15,3507.442116868798,1.493186e-18,1.5
16,3508.3608967291434,1.3910577e-18,1.5
17,3509.279676589489,1.3726657e-18,1.5
18,3510.1984564498343,1.4221105e-18,1.5
19,3511.1172363101796,1.3501321e-18,1.5
20,3512.036016170525,1.3212724e-18,1.5
21,3512.9547960308705,1.2358885e-18,1.5
22,3513.8735758912167,1.2556164e-18,1.5
23,3514.792355751562,1.2978868e-18,1.5
24,3515.7111356119076,1.2936502e-18,1.5
25,3516.629915472253,1.3163338e-18,1.5
26,3517.5486953325985,1.4454383e-18,1.5
27,3518.4674751929438,1.5662007e-18,1.5
28,3519.386255053289,1.5590356e-18,1.5
29,3520.305034913635,1.5295085e-18,1.5
30,3521.2238147739804,1.4231168e-18,1.5
31,3522.1425946343256,1.4104438e-18,1.5
32,3523.0613744946713,1.3912029e-18,1.5
33,3523.9801543550166,1.3757507e-18,1.5
34,3524.898934215362,1.4762458e-18,1.5
35,3525.817714075707,1.5759285e-18,1.5
36,3526.7364939360523,1.6374937e-18,1.5
37,3527.6552737963975,1.5450504e-18,1.5
38,3528.574053656743,1.5324682e-18,1.5
39,3529.4928335170894,1.3560844e-18,1.5
40,3530.4116133774346,1.2030793e-18,1.5
41,3531.3303932377803,1.0829627e-18,1.5
42,3532.2491730981255,1.0895438e-18,1.5
43,3533.1679529584712,1.2613709e-18,1.5
44,3534.0867328188165,1.2356069e-18,1.5
45,3535.0055126791617,1.3703656e-18,1.5
46,3535.924292539508,1.4631894e-18,1.5
47,3536.843072399853,1.5709652e-18,1.5
48,3537.7618522601983,1.5857738e-18,1.5
49,3538.6806321205436,1.5116334e-18,1.5
50,3539.5994119808893,1.4900826e-18,1.5
51,3540.5181918412345,1.4570121e-18,1.5
52,3541.4369717015798,1.4315553e-18,1.5
53,3542.355751561925,1.3418833e-18,1.5
54,3543.2745314222707,1.3359961e-18,1.5
55,3544.193311282617,1.2754599e-18,1.5
56,3545.112091142962,1.2727997e-18,1.5
57,3546.0308710033078,1.2751807e-18,1.5
58,3546.949650863653,1.1790795e-18,1.5
59,3547.8684307239987,1.2315082e-18,1.5
60,3548.787210584344,1.1408529e-18,1.5
61,3549.705990444689,1.2310065e-18,1.5
62,3550.6247703050353,1.2550315e-18,1.5
63,3551.5435501653806,1.178176e-18,1.5
64,3552.4623300257263,1.1867171e-18,1.5
65,3553.3811098860715,1.1642758e-18,1.5
66,3554.2998897464167,1.2124777e-18,1.5
67,3555.218669606762,1.1996535e-18,1.5
68,3556.137449467107,1.0290654e-18,1.5
69,3557.0562293274525,1.0166787e-18,1.5
70,3557.975009187798,1.0979963e-18,1.5
71,3558.8937890481434,1.1190575e-18,1.5
72,3559.8125689084895,1.0635639e-18,1.5
73,3560.731348768835,1.1127361e-18,1.5
74,3561.6501286291805,1.2624555e-18,1.5
75,3562.5689084895257,1.3598531e-18,1.5
76,3563.4876883498714,1.4056101e-18,1.5
77,3564.4064682102166,1.4515146e-18,1.5
78,3565.325248070562,1.4707193e-18,1.5
79,3566.244027930908,1.3103045e-18,1.5
80,3567.1628077912533,1.437843e-18,1.5
81,3568.0815876515985,1.4326804e-18,1.5
82,3569.0003675119438,1.3809639e-18,1.5
83,3569.9191473722894,1.3065611e-18,1.5
84,3570.8379272326347,1.2655182e-18,1.5
85,3571.75670709298,1.3074442e-18,1.5
86,3572.675486953325,1.3076506e-18,1.5
87,3573.594266813671,1.2472403e-18,1.5
88,3574.513046674017,1.2121463e-18,1.5
89,3575.4318265343622,1.2673403e-18,1.5
90,3576.350606394708,1.362757e-18,1.5
91,3577.269386255053,1.4107023e-18,1.5
92,3578.188166115399,1.3598362e-18,1.5
93,3579.106945975744,1.3948262e-18,1.5
94,3580.0257258360894,1.3690244e-18,1.5
95,3580.9445056964355,1.1707278e-18,1.5
96,3581.8632855567807,1.0911306e-18,1.5
97,3582.7820654171264,1.0698925e-18,1.5
98,3583.7008452774717,9.493358e-19,1.5
99,3584.619625137817,1.0083477e-18,1.5
100,3585.538404998162,9.914025e-19,1.5
101,3586.4571848585074,1.1858022e-18,1.5
102,3587.3759647188526,1.2328613e-18,1.5
103,3588.2947445791983,1.2713101e-18,1.5
104,3589.2135244395445,1.3144705e-18,1.5
105,3590.1323042998897,1.2559715e-18,1.5
106,3591.0510841602354,1.3377639e-18,1.5
107,3591.9698640205806,1.2921408e-18,1.5
108,3592.8886438809263,1.3194864e-18,1.5
109,3593.8074237412716,1.3187884e-18,1.5
110,3594.726203601617,1.3461277e-18,1.5
111,3595.644983461963,1.2938908e-18,1.5
112,3596.563763322308,1.3046883e-18,1.5
