,Wavelength,Flux,Contour Limit
0,4753.125,1.7136251e-18,1.5
1,4754.375,1.6358099e-18,1.5
2,4755.625,1.5028408e-18,1.5
3,4756.875,1.3671108e-18,1.5
4,4758.125,1.3322684e-18,1.5
5,4759.375,1.4013019e-18,1.5
6,4760.625,1.4688938e-18,1.5
7,4761.875,1.6244718e-18,1.5
8,4763.125,1.7980452e-18,1.5
9,4764.375,2.0012957e-18,1.5
10,4765.625,2.1137792e-18,1.5
11,4766.875,2.1009614e-18,1.5
12,4768.125,2.1817168e-18,1.5
13,4769.375,2.1559178e-18,1.5
14,4770.625,2.142925e-18,1.5
15,4771.875,2.029411e-18,1.5
16,4773.125,1.8440162e-18,1.5
17,4774.375,1.8087669e-18,1.5
18,4775.625,1.8686413e-18,1.5
19,4776.875,1.757089e-18,1.5
20,4778.125,1.7650086e-18,1.5
21,4779.375,1.7680942e-18,1.5
22,4780.625,1.7225622e-18,1.5
23,4781.875,1.6907372e-18,1.5
24,4783.125,1.6286526e-18,1.5
25,4784.375,1.7081541e-18,1.5
26,4785.625,1.8346078e-18,1.5
27,4786.875,1.8724598e-18,1.5
28,4788.125,1.9791994e-18,1.5
29,4789.375,1.9782215e-18,1.5
30,4790.625,1.8934723e-18,1.5
31,4791.875,1.9604245e-18,1.5
32,4793.125,1.7969705e-18,1.5
33,4794.375,1.7513322e-18,1.5
34,4795.625,1.7771924e-18,1.5
35,4796.875,1.8121805e-18,1.5
36,4798.125,1.895093e-18,1.5
37,4799.375,1.7858993e-18,1.5
38,4800.625,1.8182207e-18,1.5
39,4801.875,1.8079207e-18,1.5
40,4803.125,1.8429462e-18,1.5
41,4804.375,1.8083426e-18,1.5
42,4805.625,1.6484551e-18,1.5
43,4806.875,1.6469215e-18,1.5
44,4808.125,1.6849545e-18,1.5
45,4809.375,1.7501305e-18,1.5
46,4810.625,1.6979302e-18,1.5
47,4811.875,1.8512894e-18,1.5
48,4813.125,2.1050785e-18,1.5
49,4814.375,2.218257e-18,1.5
50,4815.625,2.2389287e-18,1.5
51,4816.875,2.183625e-18,1.5
52,4818.125,2.1070058e-18,1.5
53,4819.375,2.0268094e-18,1.5
