,Wavelength,Flux,Contour Limit
0,4750.3828125,9.224301e-18,1.5
1,4751.6328125,9.285742e-18,1.5
2,4752.8828125,1.0391607e-17,1.5
3,4754.1328125,1.0063631e-17,1.5
4,4755.3828125,9.494423e-18,1.5
5,4756.6328125,9.724169e-18,1.5
6,4757.8828125,1.0168101e-17,1.5
7,4759.1328125,1.0747274e-17,1.5
8,4760.3828125,9.290055e-18,1.5
9,4761.6328125,8.9465e-18,1.5
10,4762.8828125,9.76578e-18,1.5
11,4764.1328125,1.01153485e-17,1.5
12,4765.3828125,1.0416199e-17,1.5
13,4766.6328125,1.03259785e-17,1.5
14,4767.8828125,1.0861514e-17,1.5
15,4769.1328125,1.06428805e-17,1.5
16,4770.3828125,9.454466e-18,1.5
17,4771.6328125,1.0852919e-17,1.5
18,4772.8828125,9.47538e-18,1.5
19,4774.1328125,9.743256e-18,1.5
20,4775.3828125,9.6330054e-18,1.5
21,4776.6328125,9.557206e-18,1.5
22,4777.8828125,1.016639e-17,1.5
23,4779.1328125,9.844661e-18,1.5
24,4780.3828125,8.842053e-18,1.5
25,4781.6328125,9.330016e-18,1.5
26,4782.8828125,9.9481315e-18,1.5
27,4784.1328125,1.0860232e-17,1.5
28,4785.3828125,1.1214048e-17,1.5
29,4786.6328125,1.1724328e-17,1.5
30,4787.8828125,1.1835392e-17,1.5
31,4789.1328125,1.1772486e-17,1.5
32,4790.3828125,1.19343e-17,1.5
33,4791.6328125,1.1789567e-17,1.5
34,4792.8828125,1.2207643e-17,1.5
35,4794.1328125,1.252397e-17,1.5
36,4795.3828125,1.31839255e-17,1.5
37,4796.6328125,1.251035e-17,1.5
38,4797.8828125,1.28092954e-17,1.5
39,4799.1328125,1.2274541e-17,1.5
40,4800.3828125,1.1425216e-17,1.5
41,4801.6328125,1.039969e-17,1.5
42,4802.8828125,1.0939582e-17,1.5
43,4804.1328125,1.0842874e-17,1.5
44,4805.3828125,1.103722e-17,1.5
45,4806.6328125,1.0633466e-17,1.5
46,4807.8828125,1.1535225e-17,1.5
47,4809.1328125,1.0878504e-17,1.5
48,4810.3828125,1.11271765e-17,1.5
49,4811.6328125,1.08458135e-17,1.5
50,4812.8828125,1.0268739e-17,1.5
51,4814.1328125,9.4145975e-18,1.5
52,4815.3828125,1.0667116e-17,1.5
53,4816.6328125,1.1264042e-17,1.5
54,4817.8828125,1.27224746e-17,1.5
55,4819.1328125,1.16538375e-17,1.5
56,4820.3828125,1.0647442e-17,1.5
57,4821.6328125,1.0029516e-17,1.5
58,4822.8828125,1.1023557e-17,1.5
59,4824.1328125,1.0687468e-17,1.5
60,4825.3828125,1.0801746e-17,1.5
61,4826.6328125,1.1292785e-17,1.5
62,4827.8828125,1.0229633e-17,1.5
63,4829.1328125,1.1410352e-17,1.5
