,Wavelength,Flux,Contour Limit
0,4753.5078125,9.697312e-18,1.5
1,4754.7578125,9.854613e-18,1.5
2,4756.0078125,1.0098201e-17,1.5
3,4757.2578125,9.914609e-18,1.5
4,4758.5078125,9.728421e-18,1.5
5,4759.7578125,9.773646e-18,1.5
6,4761.0078125,9.8388435e-18,1.5
7,4762.2578125,9.8801935e-18,1.5
8,4763.5078125,9.809976e-18,1.5
9,4764.7578125,1.0071887e-17,1.5
10,4766.0078125,1.0354617e-17,1.5
11,4767.2578125,1.03027306e-17,1.5
12,4768.5078125,1.04256595e-17,1.5
13,4769.7578125,1.0268856e-17,1.5
14,4771.0078125,1.0171737e-17,1.5
15,4772.2578125,9.9669846e-18,1.5
16,4773.5078125,9.786039e-18,1.5
17,4774.7578125,9.904693e-18,1.5
18,4776.0078125,9.73665e-18,1.5
19,4777.2578125,9.6310955e-18,1.5
20,4778.5078125,9.562221e-18,1.5
21,4779.7578125,9.614743e-18,1.5
22,4781.0078125,9.831914e-18,1.5
23,4782.2578125,1.0006523e-17,1.5
24,4783.5078125,1.0319802e-17,1.5
25,4784.7578125,1.0818691e-17,1.5
26,4786.0078125,1.122577e-17,1.5
27,4787.2578125,1.1556798e-17,1.5
28,4788.5078125,1.1711686e-17,1.5
29,4789.7578125,1.1877287e-17,1.5
30,4791.0078125,1.201056e-17,1.5
31,4792.2578125,1.2235316e-17,1.5
32,4793.5078125,1.23582934e-17,1.5
33,4794.7578125,1.2504125e-17,1.5
34,4796.0078125,1.2584953e-17,1.5
35,4797.2578125,1.245455e-17,1.5
36,4798.5078125,1.2100503e-17,1.5
37,4799.7578125,1.17264465e-17,1.5
38,4801.0078125,1.1448534e-17,1.5
39,4802.2578125,1.1153187e-17,1.5
40,4803.5078125,1.0879675e-17,1.5
41,4804.7578125,1.0898009e-17,1.5
42,4806.0078125,1.0977812e-17,1.5
43,4807.2578125,1.1009077e-17,1.5
44,4808.5078125,1.1009568e-17,1.5
45,4809.7578125,1.0881488e-17,1.5
46,4811.0078125,1.06783425e-17,1.5
47,4812.2578125,1.0533658e-17,1.5
48,4813.5078125,1.0597914e-17,1.5
49,4814.7578125,1.0863797e-17,1.5
50,4816.0078125,1.0998468e-17,1.5
51,4817.2578125,1.1061585e-17,1.5
52,4818.5078125,1.1164072e-17,1.5
53,4819.7578125,1.12234785e-17,1.5
