,Wavelength,Flux,Contour Limit
0,4750.0,2.0679522e-17,1.5
1,4751.25,1.9366189e-17,1.5
2,4752.5,2.0726509e-17,1.5
3,4753.75,2.02536e-17,1.5
4,4755.0,2.0250351e-17,1.5
5,4756.25,2.207734e-17,1.5
6,4757.5,2.1156759e-17,1.5
7,4758.75,2.1557544e-17,1.5
8,4760.0,2.0669434e-17,1.5
9,4761.25,2.2834326e-17,1.5
10,4762.5,2.1041218e-17,1.5
11,4763.75,2.1254704e-17,1.5
12,4765.0,2.1459492e-17,1.5
13,4766.25,1.9804558e-17,1.5
14,4767.5,2.086067e-17,1.5
15,4768.75,2.1622101e-17,1.5
16,4770.0,2.0944743e-17,1.5
17,4771.25,1.9412265e-17,1.5
18,4772.5,1.8231418e-17,1.5
19,4773.75,1.8381821e-17,1.5
20,4775.0,1.8896756e-17,1.5
21,4776.25,2.0003533e-17,1.5
22,4777.5,1.9680812e-17,1.5
23,4778.75,2.129564e-17,1.5
24,4780.0,1.9647571e-17,1.5
25,4781.25,2.0826196e-17,1.5
26,4782.5,2.086325e-17,1.5
27,4783.75,1.9340988e-17,1.5
28,4785.0,1.8916704e-17,1.5
29,4786.25,1.8413949e-17,1.5
30,4787.5,1.7986066e-17,1.5
31,4788.75,1.7663135e-17,1.5
32,4790.0,1.7647832e-17,1.5
33,4791.25,1.8371782e-17,1.5
34,4792.5,1.7902495e-17,1.5
35,4793.75,1.7423486e-17,1.5
36,4795.0,1.9303065e-17,1.5
37,4796.25,1.812275e-17,1.5
38,4797.5,1.8889267e-17,1.5
39,4798.75,2.0425981e-17,1.5
40,4800.0,2.1541937e-17,1.5
41,4801.25,1.9727169e-17,1.5
42,4802.5,2.0308551e-17,1.5
43,4803.75,2.1393241e-17,1.5
44,4805.0,2.0901195e-17,1.5
45,4806.25,2.1828496e-17,1.5
46,4807.5,2.2159143e-17,1.5
47,4808.75,2.3004897e-17,1.5
48,4810.0,2.168904e-17,1.5
49,4811.25,2.3494029e-17,1.5
50,4812.5,2.4448474e-17,1.5
51,4813.75,2.1943775e-17,1.5
52,4815.0,2.1280474e-17,1.5
53,4816.25,2.0442971e-17,1.5
54,4817.5,2.0975279e-17,1.5
55,4818.75,2.0044097e-17,1.5
56,4820.0,2.0033878e-17,1.5
57,4821.25,1.9150141e-17,1.5
58,4822.5,1.9827491e-17,1.5
59,4823.75,2.035367e-17,1.5
60,4825.0,1.9900048e-17,1.5
61,4826.25,2.0239732e-17,1.5
62,4827.5,1.9849435e-17,1.5
63,4828.75,2.0340116e-17,1.5
64,4830.0,2.0124024e-17,1.5
65,4831.25,2.0780076e-17,1.5
66,4832.5,2.0087573e-17,1.5
67,4833.75,2.1831905e-17,1.5
68,4835.0,2.174321e-17,1.5
69,4836.25,2.0202432e-17,1.5
70,4837.5,2.0661994e-17,1.5
71,4838.75,1.9179488e-17,1.5
72,4840.0,1.9884565e-17,1.5
73,4841.25,1.9194372e-17,1.5
74,4842.5,2.0736086e-17,1.5
75,4843.75,2.1598996e-17,1.5
76,4845.0,2.1051401e-17,1.5
77,4846.25,2.417475e-17,1.5
78,4847.5,2.4123781e-17,1.5
79,4848.75,2.3267634e-17,1.5
80,4850.0,2.2604446e-17,1.5
81,4851.25,2.3794016e-17,1.5
82,4852.5,2.096223e-17,1.5
83,4853.75,2.1083706e-17,1.5
84,4855.0,1.8783245e-17,1.5
85,4856.25,1.9585981e-17,1.5
86,4857.5,2.057155e-17,1.5
87,4858.75,1.9964168e-17,1.5
88,4860.0,1.9885477e-17,1.5
89,4861.25,2.2665502e-17,1.5
90,4862.5,2.2303873e-17,1.5
91,4863.75,2.44409e-17,1.5
92,4865.0,2.29134e-17,1.5
93,4866.25,2.309821e-17,1.5
94,4867.5,2.3210011e-17,1.5
95,4868.75,2.257578e-17,1.5
96,4870.0,2.0725834e-17,1.5
97,4871.25,2.054534e-17,1.5
98,4872.5,2.0606808e-17,1.5
99,4873.75,2.2033949e-17,1.5
100,4875.0,2.1184828e-17,1.5
101,4876.25,2.0177531e-17,1.5
102,4877.5,2.0993121e-17,1.5
103,4878.75,2.1004703e-17,1.5
104,4880.0,2.2770269e-17,1.5
105,4881.25,2.1753538e-17,1.5
106,4882.5,2.2237222e-17,1.5
107,4883.75,2.2719616e-17,1.5
108,4885.0,2.3007721e-17,1.5
109,4886.25,2.2822821e-17,1.5
110,4887.5,2.3797981e-17,1.5
111,4888.75,2.4796984e-17,1.5
112,4890.0,2.2571822e-17,1.5
113,4891.25,2.3126903e-17,1.5
114,4892.5,2.4219974e-17,1.5
115,4893.75,2.5529365e-17,1.5
116,4895.0,2.2874889e-17,1.5
117,4896.25,2.2440321e-17,1.5
118,4897.5,2.3811658e-17,1.5
119,4898.75,2.333926e-17,1.5
120,4900.0,2.1632867e-17,1.5
121,4901.25,2.3537684e-17,1.5
