,Wavelength,Flux,Contour Limit
0,4753.125,2.0069706e-17,1.5
1,4754.375,2.0146288e-17,1.5
2,4755.625,2.0457042e-17,1.5
3,4756.875,2.0423468e-17,1.5
4,4758.125,2.080632e-17,1.5
5,4759.375,2.0832416e-17,1.5
6,4760.625,2.0720972e-17,1.5
7,4761.875,2.0772631e-17,1.5
8,4763.125,2.0535806e-17,1.5
9,4764.375,2.0563472e-17,1.5
10,4765.625,2.0333547e-17,1.5
11,4766.875,2.0301082e-17,1.5
12,4768.125,2.0008237e-17,1.5
13,4769.375,1.9479897e-17,1.5
14,4770.625,1.9200614e-17,1.5
15,4771.875,1.8885498e-17,1.5
16,4773.125,1.8619849e-17,1.5
17,4774.375,1.8462494e-17,1.5
18,4775.625,1.8754284e-17,1.5
19,4776.875,1.8964288e-17,1.5
20,4778.125,1.9374939e-17,1.5
21,4779.375,1.9649704e-17,1.5
22,4780.625,1.9589382e-17,1.5
23,4781.875,1.9541247e-17,1.5
24,4783.125,1.9155083e-17,1.5
25,4784.375,1.893575e-17,1.5
26,4785.625,1.8388968e-17,1.5
27,4786.875,1.7993177e-17,1.5
28,4788.125,1.7858709e-17,1.5
29,4789.375,1.7599722e-17,1.5
30,4790.625,1.7363385e-17,1.5
31,4791.875,1.7475428e-17,1.5
32,4793.125,1.7598497e-17,1.5
33,4794.375,1.7783298e-17,1.5
34,4795.625,1.8116127e-17,1.5
35,4796.875,1.8799385e-17,1.5
36,4798.125,1.9117436e-17,1.5
37,4799.375,1.9254364e-17,1.5
38,4800.625,1.979055e-17,1.5
39,4801.875,2.007871e-17,1.5
40,4803.125,2.0293162e-17,1.5
41,4804.375,2.0315991e-17,1.5
42,4805.625,2.0827098e-17,1.5
43,4806.875,2.1144025e-17,1.5
44,4808.125,2.1432867e-17,1.5
45,4809.375,2.1909786e-17,1.5
46,4810.625,2.1926414e-17,1.5
47,4811.875,2.1775376e-17,1.5
48,4813.125,2.137659e-17,1.5
49,4814.375,2.119962e-17,1.5
50,4815.625,2.0746836e-17,1.5
51,4816.875,2.013113e-17,1.5
52,4818.125,1.9731575e-17,1.5
53,4819.375,1.9429367e-17,1.5
54,4820.625,1.937954e-17,1.5
55,4821.875,1.9130595e-17,1.5
56,4823.125,1.9060347e-17,1.5
57,4824.375,1.8958157e-17,1.5
58,4825.625,1.9044287e-17,1.5
59,4826.875,1.9195138e-17,1.5
60,4828.125,1.9329224e-17,1.5
61,4829.375,1.9436678e-17,1.5
62,4830.625,1.97298e-17,1.5
63,4831.875,2.0077368e-17,1.5
64,4833.125,2.0066702e-17,1.5
65,4834.375,2.0125806e-17,1.5
66,4835.625,1.9878591e-17,1.5
