,Wavelength,Flux,Contour Limit
0,4752.95703125,4.015479e-18,1.5
1,4754.20703125,4.1654483e-18,1.5
2,4755.45703125,4.189e-18,1.5
3,4756.70703125,4.104154e-18,1.5
4,4757.95703125,4.1000427e-18,1.5
5,4759.20703125,3.950069e-18,1.5
6,4760.45703125,4.0223084e-18,1.5
7,4761.70703125,3.9058674e-18,1.5
8,4762.95703125,4.0415735e-18,1.5
9,4764.20703125,4.324585e-18,1.5
10,4765.45703125,4.3604404e-18,1.5
11,4766.70703125,4.5751637e-18,1.5
12,4767.95703125,4.806971e-18,1.5
13,4769.20703125,4.7517556e-18,1.5
14,4770.45703125,4.6628535e-18,1.5
15,4771.70703125,4.5006525e-18,1.5
16,4772.95703125,4.3883135e-18,1.5
17,4774.20703125,4.2168435e-18,1.5
18,4775.45703125,4.1896003e-18,1.5
19,4776.70703125,4.17555e-18,1.5
20,4777.95703125,4.2830684e-18,1.5
21,4779.20703125,4.3354778e-18,1.5
22,4780.45703125,4.522698e-18,1.5
23,4781.70703125,4.534985e-18,1.5
24,4782.95703125,4.3414827e-18,1.5
25,4784.20703125,4.3681535e-18,1.5
26,4785.45703125,4.1080904e-18,1.5
27,4786.70703125,4.09509e-18,1.5
28,4787.95703125,3.9550413e-18,1.5
29,4789.20703125,4.0281595e-18,1.5
30,4790.45703125,4.0886293e-18,1.5
31,4791.70703125,4.274395e-18,1.5
32,4792.95703125,4.5323157e-18,1.5
33,4794.20703125,4.4426655e-18,1.5
34,4795.45703125,4.748665e-18,1.5
35,4796.70703125,4.708664e-18,1.5
36,4797.95703125,4.7119975e-18,1.5
37,4799.20703125,4.6996783e-18,1.5
38,4800.45703125,4.6544196e-18,1.5
39,4801.70703125,4.7095036e-18,1.5
40,4802.95703125,4.527376e-18,1.5
41,4804.20703125,4.517475e-18,1.5
42,4805.45703125,4.4331434e-18,1.5
43,4806.70703125,4.613347e-18,1.5
44,4807.95703125,4.7608095e-18,1.5
45,4809.20703125,4.708205e-18,1.5
46,4810.45703125,4.6179293e-18,1.5
47,4811.70703125,4.6269063e-18,1.5
48,4812.95703125,4.4856164e-18,1.5
49,4814.20703125,4.134635e-18,1.5
50,4815.45703125,3.906648e-18,1.5
51,4816.70703125,3.867916e-18,1.5
52,4817.95703125,3.946439e-18,1.5
53,4819.20703125,3.858592e-18,1.5
54,4820.45703125,4.1259e-18,1.5
55,4821.70703125,4.451883e-18,1.5
56,4822.95703125,4.5353986e-18,1.5
57,4824.20703125,4.8666803e-18,1.5
58,4825.45703125,4.9777128e-18,1.5
59,4826.70703125,5.2481136e-18,1.5
60,4827.95703125,5.3098796e-18,1.5
61,4829.20703125,5.2089453e-18,1.5
62,4830.45703125,5.3308726e-18,1.5
63,4831.70703125,5.1164723e-18,1.5
64,4832.95703125,4.826139e-18,1.5
65,4834.20703125,4.6016905e-18,1.5
66,4835.45703125,4.568428e-18,1.5
67,4836.70703125,4.5464266e-18,1.5
68,4837.95703125,4.454498e-18,1.5
69,4839.20703125,4.351307e-18,1.5
70,4840.45703125,4.3827884e-18,1.5
71,4841.70703125,4.2782414e-18,1.5
72,4842.95703125,4.169055e-18,1.5
73,4844.20703125,3.872984e-18,1.5
74,4845.45703125,3.641264e-18,1.5
75,4846.70703125,3.6537966e-18,1.5
76,4847.95703125,3.7129106e-18,1.5
77,4849.20703125,4.02285e-18,1.5
78,4850.45703125,4.3154587e-18,1.5
79,4851.70703125,4.59363e-18,1.5
80,4852.95703125,4.7463462e-18,1.5
81,4854.20703125,4.8846037e-18,1.5
82,4855.45703125,4.761048e-18,1.5
83,4856.70703125,4.4682067e-18,1.5
84,4857.95703125,4.2484025e-18,1.5
85,4859.20703125,4.2584354e-18,1.5
86,4860.45703125,4.223624e-18,1.5
87,4861.70703125,4.179397e-18,1.5
88,4862.95703125,4.273648e-18,1.5
89,4864.20703125,4.190175e-18,1.5
90,4865.45703125,4.096262e-18,1.5
91,4866.70703125,3.8694082e-18,1.5
92,4867.95703125,3.7444452e-18,1.5
93,4869.20703125,3.62495e-18,1.5
94,4870.45703125,3.7040937e-18,1.5
95,4871.70703125,3.8582152e-18,1.5
96,4872.95703125,3.91186e-18,1.5
97,4874.20703125,4.048472e-18,1.5
98,4875.45703125,4.143612e-18,1.5
99,4876.70703125,4.145148e-18,1.5
100,4877.95703125,4.2558744e-18,1.5
101,4879.20703125,4.434286e-18,1.5
102,4880.45703125,4.540376e-18,1.5
103,4881.70703125,4.5828085e-18,1.5
104,4882.95703125,4.6706377e-18,1.5
105,4884.20703125,4.7112804e-18,1.5
106,4885.45703125,4.708894e-18,1.5
107,4886.70703125,4.4961733e-18,1.5
108,4887.95703125,4.3615827e-18,1.5
109,4889.20703125,4.183329e-18,1.5
110,4890.45703125,4.1057436e-18,1.5
111,4891.70703125,4.1766595e-18,1.5
112,4892.95703125,4.1313664e-18,1.5
113,4894.20703125,4.221555e-18,1.5
114,4895.45703125,4.250741e-18,1.5
115,4896.70703125,4.3769906e-18,1.5
116,4897.95703125,4.5005516e-18,1.5
117,4899.20703125,4.4253464e-18,1.5
118,4900.45703125,4.284814e-18,1.5
119,4901.70703125,4.4214954e-18,1.5
120,4902.95703125,4.5279912e-18,1.5
121,4904.20703125,4.6718036e-18,1.5
122,4905.45703125,4.5999328e-18,1.5
123,4906.70703125,4.709725e-18,1.5
124,4907.95703125,4.699873e-18,1.5
125,4909.20703125,4.3911524e-18,1.5
126,4910.45703125,4.14218e-18,1.5
127,4911.70703125,4.133822e-18,1.5
128,4912.95703125,4.1210506e-18,1.5
129,4914.20703125,4.1098175e-18,1.5
130,4915.45703125,4.2148777e-18,1.5
131,4916.70703125,4.5206194e-18,1.5
132,4917.95703125,4.874817e-18,1.5
133,4919.20703125,4.5951136e-18,1.5
134,4920.45703125,4.475945e-18,1.5
135,4921.70703125,4.5747426e-18,1.5
136,4922.95703125,4.6089482e-18,1.5
137,4924.20703125,4.7027455e-18,1.5
138,4925.45703125,4.6502824e-18,1.5
139,4926.70703125,4.789105e-18,1.5
140,4927.95703125,4.9061885e-18,1.5
141,4929.20703125,4.6739824e-18,1.5
142,4930.45703125,4.767101e-18,1.5
143,4931.70703125,4.6897915e-18,1.5
144,4932.95703125,4.7340163e-18,1.5
145,4934.20703125,4.6837295e-18,1.5
146,4935.45703125,4.725638e-18,1.5
147,4936.70703125,4.809628e-18,1.5
148,4937.95703125,4.644776e-18,1.5
149,4939.20703125,4.4242533e-18,1.5
150,4940.45703125,4.2285915e-18,1.5
151,4941.70703125,4.3151113e-18,1.5
