,Wavelength,Flux,Contour Limit
0,4749.83203125,3.1757509e-18,1.5
1,4751.08203125,3.2594289e-18,1.5
2,4752.33203125,3.2435656e-18,1.5
3,4753.58203125,3.5198727e-18,1.5
4,4754.83203125,2.9969506e-18,1.5
5,4756.08203125,3.6379002e-18,1.5
6,4757.33203125,3.10035e-18,1.5
7,4758.58203125,3.2445248e-18,1.5
8,4759.83203125,3.4502816e-18,1.5
9,4761.08203125,3.6809794e-18,1.5
10,4762.33203125,3.592056e-18,1.5
11,4763.58203125,2.862003e-18,1.5
12,4764.83203125,2.7197483e-18,1.5
13,4766.08203125,2.7375751e-18,1.5
14,4767.33203125,3.3844068e-18,1.5
15,4768.58203125,3.3637953e-18,1.5
16,4769.83203125,3.0941824e-18,1.5
17,4771.08203125,3.1259718e-18,1.5
18,4772.33203125,4.2147305e-18,1.5
19,4773.58203125,2.6491048e-18,1.5
20,4774.83203125,3.2622713e-18,1.5
21,4776.08203125,2.9529333e-18,1.5
22,4777.33203125,5.2402463e-18,1.5
23,4778.58203125,4.110024e-18,1.5
24,4779.83203125,3.0315557e-18,1.5
25,4781.08203125,3.4719624e-18,1.5
26,4782.33203125,3.5810307e-18,1.5
27,4783.58203125,4.691216e-18,1.5
28,4784.83203125,2.9596344e-18,1.5
29,4786.08203125,3.8449783e-18,1.5
30,4787.33203125,3.551851e-18,1.5
31,4788.58203125,3.582509e-18,1.5
32,4789.83203125,4.211947e-18,1.5
33,4791.08203125,3.0677662e-18,1.5
34,4792.33203125,4.488552e-18,1.5
35,4793.58203125,3.1108447e-18,1.5
36,4794.83203125,3.530904e-18,1.5
37,4796.08203125,3.4586105e-18,1.5
38,4797.33203125,2.924169e-18,1.5
39,4798.58203125,3.127305e-18,1.5
40,4799.83203125,2.8109047e-18,1.5
41,4801.08203125,2.4304039e-18,1.5
42,4802.33203125,3.3305439e-18,1.5
43,4803.58203125,2.8830714e-18,1.5
44,4804.83203125,3.8131488e-18,1.5
45,4806.08203125,3.802242e-18,1.5
46,4807.33203125,2.839696e-18,1.5
47,4808.58203125,3.850492e-18,1.5
48,4809.83203125,3.2115672e-18,1.5
49,4811.08203125,2.5026794e-18,1.5
50,4812.33203125,3.484634e-18,1.5
51,4813.58203125,3.802908e-18,1.5
52,4814.83203125,3.5986546e-18,1.5
53,4816.08203125,3.178399e-18,1.5
54,4817.33203125,2.5981205e-18,1.5
55,4818.58203125,3.309809e-18,1.5
56,4819.83203125,4.6506245e-18,1.5
57,4821.08203125,2.680101e-18,1.5
58,4822.33203125,4.1780603e-18,1.5
59,4823.58203125,3.1651944e-18,1.5
60,4824.83203125,3.142479e-18,1.5
61,4826.08203125,3.4020539e-18,1.5
62,4827.33203125,2.3438343e-18,1.5
63,4828.58203125,2.6634025e-18,1.5
64,4829.83203125,2.7069682e-18,1.5
65,4831.08203125,4.3360874e-18,1.5
66,4832.33203125,3.722915e-18,1.5
67,4833.58203125,3.2399225e-18,1.5
68,4834.83203125,3.2883405e-18,1.5
69,4836.08203125,3.250204e-18,1.5
70,4837.33203125,3.8346844e-18,1.5
71,4838.58203125,3.8139913e-18,1.5
72,4839.83203125,3.4752256e-18,1.5
73,4841.08203125,3.0799688e-18,1.5
74,4842.33203125,3.0622607e-18,1.5
75,4843.58203125,3.6913584e-18,1.5
76,4844.83203125,3.8313707e-18,1.5
77,4846.08203125,3.531768e-18,1.5
78,4847.33203125,3.4465206e-18,1.5
79,4848.58203125,3.2887678e-18,1.5
80,4849.83203125,3.85274e-18,1.5
81,4851.08203125,3.595824e-18,1.5
