,Wavelength,Flux,Contour Limit
0,3109.139249361786,4.8515946e-18,1.5
1,3109.957472834981,4.979429e-18,1.5
2,3110.775696308176,4.955195e-18,1.5
3,3111.593919781371,5.3773093e-18,1.5
4,3112.412143254566,4.5784414e-18,1.5
5,3113.230366727761,5.55762e-18,1.5
6,3114.048590200956,4.7364048e-18,1.5
7,3114.866813674151,4.95666e-18,1.5
8,3115.685037147346,5.270995e-18,1.5
9,3116.503260620541,5.623432e-18,1.5
10,3117.321484093736,5.4875836e-18,1.5
11,3118.139707566931,4.372282e-18,1.5
12,3118.957931040126,4.1549592e-18,1.5
13,3119.776154513321,4.1821933e-18,1.5
14,3120.594377986516,5.170358e-18,1.5
15,3121.412601459711,5.13887e-18,1.5
16,3122.230824932906,4.7269823e-18,1.5
17,3123.049048406101,4.775547e-18,1.5
18,3123.867271879296,6.4388434e-18,1.5
19,3124.685495352491,4.0470374e-18,1.5
20,3125.503718825686,4.983772e-18,1.5
21,3126.321942298881,4.511196e-18,1.5
22,3127.140165772076,8.005524e-18,1.5
23,3127.958389245271,6.278883e-18,1.5
24,3128.776612718466,4.6313077e-18,1.5
25,3129.594836191661,5.3041166e-18,1.5
26,3130.413059664856,5.4707405e-18,1.5
27,3131.231283138051,7.1667706e-18,1.5
28,3132.049506611246,4.5214333e-18,1.5
29,3132.867730084441,5.873973e-18,1.5
30,3133.685953557636,5.4261625e-18,1.5
31,3134.504177030831,5.4729988e-18,1.5
32,3135.322400504026,6.4345912e-18,1.5
33,3136.140623977221,4.6866263e-18,1.5
34,3136.958847450416,6.8571606e-18,1.5
35,3137.777070923611,4.752437e-18,1.5
36,3138.595294396806,5.394162e-18,1.5
37,3139.413517870001,5.283719e-18,1.5
38,3140.231741343196,4.467253e-18,1.5
39,3141.049964816391,4.777584e-18,1.5
40,3141.868188289586,4.294219e-18,1.5
41,3142.686411762781,3.712928e-18,1.5
42,3143.504635235976,5.088072e-18,1.5
43,3144.3228587091708,4.404468e-18,1.5
44,3145.141082182366,5.825347e-18,1.5
45,3145.959305655561,5.8086848e-18,1.5
