,Wavelength,Flux,Contour Limit
0,4750.23730469,8.965805e-18,1.5
1,4751.48730469,9.8495845e-18,1.5
2,4752.73730469,1.1170952e-17,1.5
3,4753.98730469,1.10288975e-17,1.5
4,4755.23730469,1.0516056e-17,1.5
5,4756.48730469,1.2128782e-17,1.5
6,4757.73730469,9.855038e-18,1.5
7,4758.98730469,8.264653e-18,1.5
8,4760.23730469,9.342603e-18,1.5
9,4761.48730469,9.272349e-18,1.5
10,4762.73730469,1.1081397e-17,1.5
11,4763.98730469,1.0325833e-17,1.5
12,4765.23730469,9.402655e-18,1.5
13,4766.48730469,8.471286e-18,1.5
14,4767.73730469,8.989062e-18,1.5
15,4768.98730469,9.75635e-18,1.5
16,4770.23730469,9.189379e-18,1.5
17,4771.48730469,1.0003696e-17,1.5
18,4772.73730469,9.872812e-18,1.5
19,4773.98730469,1.0398583e-17,1.5
20,4775.23730469,9.764579e-18,1.5
21,4776.48730469,9.90185e-18,1.5
22,4777.73730469,1.0092553e-17,1.5
23,4778.98730469,9.134384e-18,1.5
24,4780.23730469,9.521784e-18,1.5
25,4781.48730469,8.704225e-18,1.5
26,4782.73730469,9.658166e-18,1.5
27,4783.98730469,9.6372795e-18,1.5
28,4785.23730469,9.948203e-18,1.5
29,4786.48730469,1.0581417e-17,1.5
30,4787.73730469,8.994726e-18,1.5
31,4788.98730469,8.985594e-18,1.5
32,4790.23730469,9.651735e-18,1.5
33,4791.48730469,8.900198e-18,1.5
34,4792.73730469,9.244695e-18,1.5
35,4793.98730469,9.726496e-18,1.5
36,4795.23730469,9.091271e-18,1.5
37,4796.48730469,8.242861e-18,1.5
38,4797.73730469,9.0626355e-18,1.5
39,4798.98730469,8.9002665e-18,1.5
40,4800.23730469,9.212528e-18,1.5
41,4801.48730469,8.943767e-18,1.5
42,4802.73730469,8.724049e-18,1.5
43,4803.98730469,8.53436e-18,1.5
44,4805.23730469,9.808167e-18,1.5
45,4806.48730469,9.115911e-18,1.5
46,4807.73730469,9.153836e-18,1.5
47,4808.98730469,1.0044864e-17,1.5
48,4810.23730469,9.516912e-18,1.5
49,4811.48730469,9.241825e-18,1.5
50,4812.73730469,8.88986e-18,1.5
51,4813.98730469,8.5534446e-18,1.5
52,4815.23730469,8.960224e-18,1.5
53,4816.48730469,1.0022245e-17,1.5
54,4817.73730469,9.3212866e-18,1.5
55,4818.98730469,8.7317376e-18,1.5
56,4820.23730469,9.07502e-18,1.5
57,4821.48730469,9.5296765e-18,1.5
58,4822.73730469,8.477754e-18,1.5
59,4823.98730469,8.1324e-18,1.5
60,4825.23730469,9.296069e-18,1.5
61,4826.48730469,9.1771495e-18,1.5
62,4827.73730469,8.805783e-18,1.5
63,4828.98730469,8.828043e-18,1.5
64,4830.23730469,9.3445535e-18,1.5
65,4831.48730469,9.300884e-18,1.5
66,4832.73730469,8.1387144e-18,1.5
67,4833.98730469,8.809303e-18,1.5
68,4835.23730469,9.729393e-18,1.5
69,4836.48730469,9.14592e-18,1.5
70,4837.73730469,8.158246e-18,1.5
71,4838.98730469,8.208218e-18,1.5
72,4840.23730469,9.748026e-18,1.5
73,4841.48730469,8.652982e-18,1.5
74,4842.73730469,9.732814e-18,1.5
75,4843.98730469,1.0152118e-17,1.5
76,4845.23730469,8.752563e-18,1.5
77,4846.48730469,9.072347e-18,1.5
78,4847.73730469,8.853584e-18,1.5
79,4848.98730469,8.325648e-18,1.5
80,4850.23730469,7.823088e-18,1.5
81,4851.48730469,9.148967e-18,1.5
82,4852.73730469,9.581943e-18,1.5
83,4853.98730469,9.093094e-18,1.5
84,4855.23730469,8.327523e-18,1.5
85,4856.48730469,9.826403e-18,1.5
86,4857.73730469,9.7004645e-18,1.5
87,4858.98730469,9.03309e-18,1.5
88,4860.23730469,8.954677e-18,1.5
89,4861.48730469,8.897324e-18,1.5
90,4862.73730469,8.940897e-18,1.5
91,4863.98730469,8.128476e-18,1.5
92,4865.23730469,9.6573825e-18,1.5
93,4866.48730469,9.490044e-18,1.5
94,4867.73730469,8.584596e-18,1.5
95,4868.98730469,9.347756e-18,1.5
96,4870.23730469,9.150382e-18,1.5
97,4871.48730469,8.878562e-18,1.5
98,4872.73730469,7.959946e-18,1.5
99,4873.98730469,8.645782e-18,1.5
100,4875.23730469,8.249555e-18,1.5
101,4876.48730469,9.1555485e-18,1.5
102,4877.73730469,9.354297e-18,1.5
103,4878.98730469,8.927732e-18,1.5
104,4880.23730469,8.6312905e-18,1.5
105,4881.48730469,8.013466e-18,1.5
106,4882.73730469,9.182371e-18,1.5
107,4883.98730469,8.830134e-18,1.5
108,4885.23730469,8.706155e-18,1.5
109,4886.48730469,7.718306e-18,1.5
110,4887.73730469,8.360893e-18,1.5
111,4888.98730469,9.509997e-18,1.5
112,4890.23730469,8.005796e-18,1.5
113,4891.48730469,8.0727956e-18,1.5
114,4892.73730469,8.8278775e-18,1.5
115,4893.98730469,8.627466e-18,1.5
116,4895.23730469,9.516812e-18,1.5
117,4896.48730469,8.879998e-18,1.5
118,4897.73730469,7.824542e-18,1.5
119,4898.98730469,8.791531e-18,1.5
120,4900.23730469,8.769904e-18,1.5
121,4901.48730469,9.1213835e-18,1.5
122,4902.73730469,8.821114e-18,1.5
123,4903.98730469,7.823175e-18,1.5
124,4905.23730469,8.286937e-18,1.5
125,4906.48730469,9.167994e-18,1.5
126,4907.73730469,8.983191e-18,1.5
127,4908.98730469,8.942202e-18,1.5
128,4910.23730469,8.88503e-18,1.5
129,4911.48730469,8.655279e-18,1.5
130,4912.73730469,8.1924795e-18,1.5
131,4913.98730469,8.599086e-18,1.5
132,4915.23730469,8.490533e-18,1.5
133,4916.48730469,8.070976e-18,1.5
134,4917.73730469,8.575982e-18,1.5
135,4918.98730469,9.121961e-18,1.5
136,4920.23730469,8.73541e-18,1.5
137,4921.48730469,8.146149e-18,1.5
138,4922.73730469,8.07863e-18,1.5
139,4923.98730469,8.4172146e-18,1.5
140,4925.23730469,9.199807e-18,1.5
141,4926.48730469,8.634827e-18,1.5
142,4927.73730469,7.819941e-18,1.5
143,4928.98730469,8.037323e-18,1.5
144,4930.23730469,8.037345e-18,1.5
145,4931.48730469,7.651687e-18,1.5
146,4932.73730469,7.938615e-18,1.5
147,4933.98730469,8.927831e-18,1.5
148,4935.23730469,7.302925e-18,1.5
149,4936.48730469,8.618666e-18,1.5
150,4937.73730469,7.834681e-18,1.5
151,4938.98730469,9.296932e-18,1.5
152,4940.23730469,8.975515e-18,1.5
153,4941.48730469,8.384407e-18,1.5
154,4942.73730469,8.780972e-18,1.5
155,4943.98730469,8.123101e-18,1.5
156,4945.23730469,7.897391e-18,1.5
157,4946.48730469,8.1534515e-18,1.5
158,4947.73730469,7.922534e-18,1.5
159,4948.98730469,8.80261e-18,1.5
160,4950.23730469,8.617838e-18,1.5
