,Wavelength,Flux,Contour Limit
0,4753.36230469,1.0610013e-17,1.5
1,4754.61230469,1.0758218e-17,1.5
2,4755.86230469,1.0494063e-17,1.5
3,4757.11230469,1.0189337e-17,1.5
4,4758.36230469,9.896581e-18,1.5
5,4759.61230469,9.990803e-18,1.5
6,4760.86230469,9.690312e-18,1.5
7,4762.11230469,9.614915e-18,1.5
8,4763.36230469,9.649353e-18,1.5
9,4764.61230469,9.5904305e-18,1.5
10,4765.86230469,9.671097e-18,1.5
11,4767.11230469,9.35576e-18,1.5
12,4768.36230469,9.302072e-18,1.5
13,4769.61230469,9.380431e-18,1.5
14,4770.86230469,9.7016465e-18,1.5
15,4772.11230469,9.830899e-18,1.5
16,4773.36230469,9.85515e-18,1.5
17,4774.61230469,1.00056784e-17,1.5
18,4775.86230469,9.860794e-18,1.5
19,4777.11230469,9.802289e-18,1.5
20,4778.36230469,9.519896e-18,1.5
21,4779.61230469,9.502161e-18,1.5
22,4780.86230469,9.458065e-18,1.5
23,4782.11230469,9.434007e-18,1.5
24,4783.36230469,9.6751784e-18,1.5
25,4784.61230469,9.587337e-18,1.5
26,4785.86230469,9.634231e-18,1.5
27,4787.11230469,9.633159e-18,1.5
28,4788.36230469,9.510311e-18,1.5
29,4789.61230469,9.39306e-18,1.5
30,4790.86230469,9.250574e-18,1.5
31,4792.11230469,9.266664e-18,1.5
32,4793.36230469,9.142876e-18,1.5
33,4794.61230469,9.044693e-18,1.5
34,4795.86230469,9.044704e-18,1.5
35,4797.11230469,9.039343e-18,1.5
36,4798.36230469,8.908888e-18,1.5
37,4799.61230469,8.847684e-18,1.5
38,4800.86230469,8.896268e-18,1.5
39,4802.11230469,9.020523e-18,1.5
40,4803.36230469,9.056464e-18,1.5
41,4804.61230469,9.046682e-18,1.5
42,4805.86230469,9.230198e-18,1.5
43,4807.11230469,9.362342e-18,1.5
44,4808.36230469,9.480253e-18,1.5
45,4809.61230469,9.327202e-18,1.5
46,4810.86230469,9.2334565e-18,1.5
47,4812.11230469,9.201187e-18,1.5
48,4813.36230469,9.197419e-18,1.5
49,4814.61230469,9.164815e-18,1.5
50,4815.86230469,9.0797995e-18,1.5
51,4817.11230469,9.11066e-18,1.5
52,4818.36230469,9.2733655e-18,1.5
53,4819.61230469,9.192954e-18,1.5
54,4820.86230469,8.877979e-18,1.5
55,4822.11230469,8.873776e-18,1.5
56,4823.36230469,8.948011e-18,1.5
57,4824.61230469,8.903139e-18,1.5
58,4825.86230469,8.7862e-18,1.5
59,4827.11230469,8.930666e-18,1.5
60,4828.36230469,9.125414e-18,1.5
61,4829.61230469,8.932522e-18,1.5
62,4830.86230469,8.8712135e-18,1.5
63,4832.11230469,9.0251485e-18,1.5
64,4833.36230469,9.078128e-18,1.5
65,4834.61230469,8.88041e-18,1.5
66,4835.86230469,8.6983e-18,1.5
67,4837.11230469,8.966518e-18,1.5
68,4838.36230469,8.940463e-18,1.5
69,4839.61230469,8.941034e-18,1.5
70,4840.86230469,9.108734e-18,1.5
71,4842.11230469,9.2077875e-18,1.5
72,4843.36230469,9.351809e-18,1.5
73,4844.61230469,9.202735e-18,1.5
74,4845.86230469,9.148179e-18,1.5
75,4847.11230469,8.829892e-18,1.5
76,4848.36230469,8.6626994e-18,1.5
77,4849.61230469,8.8009296e-18,1.5
78,4850.86230469,8.804386e-18,1.5
79,4852.11230469,8.71671e-18,1.5
80,4853.36230469,8.966836e-18,1.5
81,4854.61230469,9.279732e-18,1.5
82,4855.86230469,9.260419e-18,1.5
83,4857.11230469,9.155875e-18,1.5
84,4858.36230469,9.123247e-18,1.5
85,4859.61230469,9.225476e-18,1.5
86,4860.86230469,8.942488e-18,1.5
87,4862.11230469,8.9353075e-18,1.5
88,4863.36230469,9.011467e-18,1.5
89,4864.61230469,8.949787e-18,1.5
90,4865.86230469,9.024859e-18,1.5
91,4867.11230469,9.059773e-18,1.5
92,4868.36230469,9.184788e-18,1.5
93,4869.61230469,8.901881e-18,1.5
94,4870.86230469,8.76117e-18,1.5
95,4872.11230469,8.705331e-18,1.5
96,4873.36230469,8.673296e-18,1.5
97,4874.61230469,8.707282e-18,1.5
98,4875.86230469,8.715477e-18,1.5
99,4877.11230469,8.827368e-18,1.5
100,4878.36230469,8.721982e-18,1.5
101,4879.61230469,8.87745e-18,1.5
102,4880.86230469,8.823215e-18,1.5
103,4882.11230469,8.7151915e-18,1.5
104,4883.36230469,8.51362e-18,1.5
105,4884.61230469,8.468554e-18,1.5
106,4885.86230469,8.717976e-18,1.5
107,4887.11230469,8.52188e-18,1.5
108,4888.36230469,8.395657e-18,1.5
109,4889.61230469,8.415944e-18,1.5
110,4890.86230469,8.56747e-18,1.5
111,4892.11230469,8.760124e-18,1.5
112,4893.36230469,8.655124e-18,1.5
113,4894.61230469,8.6249155e-18,1.5
114,4895.86230469,8.7447045e-18,1.5
115,4897.11230469,8.735042e-18,1.5
116,4898.36230469,8.817362e-18,1.5
117,4899.61230469,8.701412e-18,1.5
118,4900.86230469,8.525275e-18,1.5
119,4902.11230469,8.60234e-18,1.5
120,4903.36230469,8.665085e-18,1.5
121,4904.61230469,8.700632e-18,1.5
122,4905.86230469,8.670769e-18,1.5
123,4907.11230469,8.681422e-18,1.5
124,4908.36230469,8.820105e-18,1.5
125,4909.61230469,8.804363e-18,1.5
126,4910.86230469,8.709544e-18,1.5
127,4912.11230469,8.627434e-18,1.5
128,4913.36230469,8.48223e-18,1.5
129,4914.61230469,8.430723e-18,1.5
130,4915.86230469,8.508503e-18,1.5
131,4917.11230469,8.598992e-18,1.5
132,4918.36230469,8.5235015e-18,1.5
133,4919.61230469,8.454851e-18,1.5
134,4920.86230469,8.512558e-18,1.5
135,4922.11230469,8.616529e-18,1.5
136,4923.36230469,8.535339e-18,1.5
137,4924.61230469,8.382761e-18,1.5
138,4925.86230469,8.364623e-18,1.5
139,4927.11230469,8.357743e-18,1.5
140,4928.36230469,8.230155e-18,1.5
141,4929.61230469,8.019955e-18,1.5
142,4930.86230469,8.06879e-18,1.5
143,4932.11230469,7.982621e-18,1.5
144,4933.36230469,8.0795114e-18,1.5
145,4934.61230469,8.045734e-18,1.5
146,4935.86230469,8.3199414e-18,1.5
147,4937.11230469,8.4927585e-18,1.5
148,4938.36230469,8.402187e-18,1.5
149,4939.61230469,8.648528e-18,1.5
150,4940.86230469,8.565934e-18,1.5
151,4942.11230469,8.5763864e-18,1.5
152,4943.36230469,8.385806e-18,1.5
153,4944.61230469,8.210309e-18,1.5
154,4945.86230469,8.28001e-18,1.5
155,4947.11230469,8.2528215e-18,1.5
156,4948.36230469,8.277192e-18,1.5
157,4949.61230469,8.464903e-18,1.5
158,4950.86230469,8.567616e-18,1.5
159,4952.11230469,8.695679e-18,1.5
160,4953.36230469,8.647439e-18,1.5
161,4954.61230469,8.594907e-18,1.5
162,4955.86230469,8.716666e-18,1.5
163,4957.11230469,8.688283e-18,1.5
164,4958.36230469,8.459157e-18,1.5
165,4959.61230469,8.423894e-18,1.5
166,4960.86230469,8.316373e-18,1.5
167,4962.11230469,8.326378e-18,1.5
168,4963.36230469,7.990102e-18,1.5
169,4964.61230469,7.875818e-18,1.5
170,4965.86230469,8.075092e-18,1.5
171,4967.11230469,8.0994755e-18,1.5
172,4968.36230469,8.244226e-18,1.5
173,4969.61230469,8.329665e-18,1.5
174,4970.86230469,8.553927e-18,1.5
175,4972.11230469,8.664452e-18,1.5
176,4973.36230469,8.738522e-18,1.5
177,4974.61230469,8.6372686e-18,1.5
