,Wavelength,Flux,Contour Limit
0,3237.6208456175027,1.3154629e-17,1.5
1,3238.472808540076,1.445131e-17,1.5
2,3239.32477146265,1.6390021e-17,1.5
3,3240.1767343852234,1.6181598e-17,1.5
4,3241.0286973077973,1.5429158e-17,1.5
5,3241.8806602303707,1.779535e-17,1.5
6,3242.7326231529446,1.4459312e-17,1.5
7,3243.584586075518,1.2125899e-17,1.5
8,3244.4365489980914,1.3707467e-17,1.5
9,3245.2885119206653,1.36043906e-17,1.5
10,3246.1404748432387,1.6258625e-17,1.5
11,3246.9924377658126,1.5150063e-17,1.5
12,3247.844400688386,1.3795575e-17,1.5
13,3248.6963636109595,1.2429071e-17,1.5
14,3249.5483265335333,1.3188752e-17,1.5
15,3250.4002894561067,1.4314516e-17,1.5
16,3251.2522523786806,1.3482658e-17,1.5
17,3252.104215301254,1.4677423e-17,1.5
18,3252.956178223828,1.448539e-17,1.5
19,3253.8081411464013,1.52568e-17,1.5
20,3254.6601040689748,1.4326591e-17,1.5
21,3255.5120669915486,1.4527995e-17,1.5
22,3256.364029914122,1.4807794e-17,1.5
23,3257.215992836696,1.3401969e-17,1.5
24,3258.0679557592694,1.3970363e-17,1.5
25,3258.919918681843,1.2770839e-17,1.5
26,3259.7718816044166,1.4170461e-17,1.5
27,3260.62384452699,1.4139817e-17,1.5
28,3261.475807449564,1.4596004e-17,1.5
29,3262.3277703721374,1.5525055e-17,1.5
30,3263.1797332947112,1.3197063e-17,1.5
31,3264.0316962172847,1.3183664e-17,1.5
32,3264.883659139858,1.4161026e-17,1.5
33,3265.735622062432,1.305837e-17,1.5
34,3266.5875849850054,1.35638165e-17,1.5
35,3267.4395479075793,1.4270715e-17,1.5
36,3268.2915108301527,1.33387125e-17,1.5
37,3269.143473752726,1.2093926e-17,1.5
38,3269.9954366753,1.3296699e-17,1.5
39,3270.8473995978734,1.3058471e-17,1.5
40,3271.6993625204473,1.3516622e-17,1.5
41,3272.5513254430207,1.3122296e-17,1.5
42,3273.403288365594,1.2799925e-17,1.5
43,3274.255251288168,1.2521613e-17,1.5
44,3275.1072142107414,1.4390542e-17,1.5
45,3275.9591771333153,1.33748645e-17,1.5
46,3276.8111400558887,1.3430509e-17,1.5
47,3277.6631029784626,1.4737824e-17,1.5
48,3278.515065901036,1.3963214e-17,1.5
49,3279.3670288236094,1.3559606e-17,1.5
50,3280.2189917461833,1.3043202e-17,1.5
51,3281.0709546687567,1.25496145e-17,1.5
52,3281.9229175913306,1.3146441e-17,1.5
53,3282.774880513904,1.470464e-17,1.5
54,3283.6268434364774,1.3676192e-17,1.5
55,3284.4788063590513,1.2811205e-17,1.5
56,3285.3307692816247,1.331487e-17,1.5
57,3286.1827322041986,1.3981941e-17,1.5
58,3287.034695126772,1.2438561e-17,1.5
59,3287.886658049346,1.1931857e-17,1.5
60,3288.7386209719193,1.3639193e-17,1.5
61,3289.5905838944927,1.34647145e-17,1.5
62,3290.4425468170666,1.2919845e-17,1.5
63,3291.29450973964,1.2952505e-17,1.5
64,3292.146472662214,1.3710329e-17,1.5
65,3292.9984355847873,1.36462575e-17,1.5
66,3293.8503985073608,1.1941122e-17,1.5
67,3294.7023614299346,1.292501e-17,1.5
68,3295.554324352508,1.4274965e-17,1.5
69,3296.406287275082,1.34188945e-17,1.5
70,3297.2582501976553,1.1969778e-17,1.5
71,3298.110213120229,1.2043098e-17,1.5
72,3298.9621760428026,1.4302304e-17,1.5
73,3299.814138965376,1.2695655e-17,1.5
74,3300.66610188795,1.4279985e-17,1.5
75,3301.5180648105234,1.4895189e-17,1.5
76,3302.3700277330972,1.2841761e-17,1.5
77,3303.2219906556707,1.3310948e-17,1.5
78,3304.073953578244,1.2989978e-17,1.5
79,3304.925916500818,1.2215391e-17,1.5
80,3305.7778794233914,1.1478035e-17,1.5
81,3306.6298423459652,1.34233646e-17,1.5
82,3307.4818052685387,1.4058626e-17,1.5
83,3308.3337681911125,1.3341388e-17,1.5
84,3309.185731113686,1.22181426e-17,1.5
85,3310.0376940362594,1.4417298e-17,1.5
86,3310.8896569588333,1.4232523e-17,1.5
87,3311.7416198814067,1.325335e-17,1.5
88,3312.5935828039806,1.3138302e-17,1.5
89,3313.445545726554,1.3054154e-17,1.5
90,3314.2975086491274,1.31180845e-17,1.5
91,3315.1494715717013,1.1926101e-17,1.5
92,3316.0014344942747,1.4169313e-17,1.5
93,3316.8533974168486,1.3923792e-17,1.5
94,3317.705360339422,1.25953195e-17,1.5
95,3318.557323261996,1.37150284e-17,1.5
96,3319.4092861845693,1.3425441e-17,1.5
97,3320.2612491071427,1.3026626e-17,1.5
98,3321.1132120297166,1.1678833e-17,1.5
99,3321.96517495229,1.2685092e-17,1.5
100,3322.817137874864,1.2103748e-17,1.5
101,3323.6691007974373,1.3433021e-17,1.5
102,3324.5210637200107,1.37246246e-17,1.5
103,3325.3730266425846,1.3098769e-17,1.5
104,3326.224989565158,1.266383e-17,1.5
105,3327.076952487732,1.17573575e-17,1.5
106,3327.9289154103053,1.3472375e-17,1.5
107,3328.7808783328787,1.2955573e-17,1.5
108,3329.6328412554526,1.2773671e-17,1.5
109,3330.484804178026,1.1324299e-17,1.5
110,3331.3367671006,1.2267102e-17,1.5
111,3332.1887300231733,1.3953068e-17,1.5
112,3333.040692945747,1.1746104e-17,1.5
113,3333.8926558683206,1.1844406e-17,1.5
114,3334.744618790894,1.2952262e-17,1.5
115,3335.596581713468,1.2658218e-17,1.5
116,3336.4485446360413,1.3963067e-17,1.5
117,3337.300507558615,1.3028733e-17,1.5
118,3338.1524704811886,1.1480168e-17,1.5
119,3339.004433403762,1.28989345e-17,1.5
120,3339.856396326336,1.2867203e-17,1.5
121,3340.7083592489093,1.3382894e-17,1.5
122,3341.560322171483,1.2942338e-17,1.5
123,3342.4122850940566,1.14781625e-17,1.5
124,3343.2642480166305,1.2158594e-17,1.5
