,Wavelength,Flux,Contour Limit
0,4749.90039062,3.4852775e-18,1.5
1,4751.15039062,4.201236e-18,1.5
2,4752.40039062,3.3869196e-18,1.5
3,4753.65039062,3.1228043e-18,1.5
4,4754.90039062,3.1341003e-18,1.5
5,4756.15039062,3.5616457e-18,1.5
6,4757.40039062,3.005526e-18,1.5
7,4758.65039062,3.031622e-18,1.5
8,4759.90039062,2.9493116e-18,1.5
9,4761.15039062,2.7201555e-18,1.5
10,4762.40039062,2.119979e-18,1.5
11,4763.65039062,2.5112194e-18,1.5
12,4764.90039062,3.2192374e-18,1.5
13,4766.15039062,2.773432e-18,1.5
14,4767.40039062,3.675995e-18,1.5
15,4768.65039062,3.5061932e-18,1.5
16,4769.90039062,3.3154871e-18,1.5
17,4771.15039062,2.9316396e-18,1.5
18,4772.40039062,2.728873e-18,1.5
19,4773.65039062,3.3449432e-18,1.5
20,4774.90039062,3.718286e-18,1.5
21,4776.15039062,3.3882774e-18,1.5
22,4777.40039062,3.3685493e-18,1.5
23,4778.65039062,3.2200144e-18,1.5
24,4779.90039062,3.935667e-18,1.5
25,4781.15039062,4.2937134e-18,1.5
26,4782.40039062,3.1844423e-18,1.5
27,4783.65039062,3.990356e-18,1.5
28,4784.90039062,3.704076e-18,1.5
29,4786.15039062,3.9250845e-18,1.5
30,4787.40039062,2.934948e-18,1.5
31,4788.65039062,2.6289578e-18,1.5
32,4789.90039062,3.4903903e-18,1.5
33,4791.15039062,3.5361905e-18,1.5
34,4792.40039062,3.9422857e-18,1.5
35,4793.65039062,4.09887e-18,1.5
36,4794.90039062,4.161261e-18,1.5
37,4796.15039062,3.867745e-18,1.5
38,4797.40039062,4.532305e-18,1.5
39,4798.65039062,3.1727954e-18,1.5
40,4799.90039062,2.9207278e-18,1.5
41,4801.15039062,3.6216775e-18,1.5
42,4802.40039062,3.3760428e-18,1.5
43,4803.65039062,3.306023e-18,1.5
44,4804.90039062,3.1242335e-18,1.5
45,4806.15039062,2.9841275e-18,1.5
46,4807.40039062,3.8486907e-18,1.5
47,4808.65039062,3.5512593e-18,1.5
48,4809.90039062,2.9666436e-18,1.5
49,4811.15039062,3.106879e-18,1.5
50,4812.40039062,3.0691916e-18,1.5
51,4813.65039062,3.3153194e-18,1.5
52,4814.90039062,3.5203583e-18,1.5
53,4816.15039062,4.0935163e-18,1.5
54,4817.40039062,3.0809998e-18,1.5
55,4818.65039062,2.5780957e-18,1.5
56,4819.90039062,2.9347127e-18,1.5
57,4821.15039062,3.0887224e-18,1.5
58,4822.40039062,2.1767324e-18,1.5
59,4823.65039062,2.780966e-18,1.5
60,4824.90039062,2.8677103e-18,1.5
61,4826.15039062,2.3536204e-18,1.5
62,4827.40039062,2.7861645e-18,1.5
63,4828.65039062,3.608777e-18,1.5
64,4829.90039062,3.025629e-18,1.5
65,4831.15039062,3.2173399e-18,1.5
66,4832.40039062,3.4678615e-18,1.5
67,4833.65039062,3.892045e-18,1.5
68,4834.90039062,3.915123e-18,1.5
69,4836.15039062,2.5208112e-18,1.5
70,4837.40039062,3.3368927e-18,1.5
71,4838.65039062,3.1553923e-18,1.5
72,4839.90039062,3.1816729e-18,1.5
73,4841.15039062,3.521559e-18,1.5
74,4842.40039062,2.9341172e-18,1.5
75,4843.65039062,2.9216032e-18,1.5
76,4844.90039062,3.6587125e-18,1.5
77,4846.15039062,3.1968696e-18,1.5
78,4847.40039062,3.5598276e-18,1.5
79,4848.65039062,3.5154303e-18,1.5
80,4849.90039062,3.7534954e-18,1.5
