,Wavelength,Flux,Contour Limit
0,3317.7012627252407,1.6724727e-17,1.5
1,3318.5742896843135,1.461863e-17,1.5
2,3319.447316643386,1.4734552e-17,1.5
3,3320.3203436024583,1.4876567e-17,1.5
4,3321.1933705615306,1.4167665e-17,1.5
5,3322.0663975206035,1.4485142e-17,1.5
6,3322.939424479676,1.6220843e-17,1.5
7,3323.812451438748,1.3920343e-17,1.5
8,3324.6854783978206,1.5768385e-17,1.5
9,3325.5585053568934,1.4509279e-17,1.5
10,3326.431532315966,1.4709874e-17,1.5
11,3327.304559275038,1.3208141e-17,1.5
12,3328.1775862341105,1.6324386e-17,1.5
13,3329.0506131931834,1.3406753e-17,1.5
14,3329.9236401522558,1.4940449e-17,1.5
15,3330.796667111328,1.4736317e-17,1.5
16,3331.6696940704005,1.6234908e-17,1.5
17,3332.5427210294733,1.49214e-17,1.5
18,3333.4157479885457,1.6186874e-17,1.5
19,3334.288774947618,1.6417669e-17,1.5
20,3335.161801906691,1.3372183e-17,1.5
21,3336.0348288657633,1.3533265e-17,1.5
22,3336.9078558248357,1.593273e-17,1.5
23,3337.780882783908,1.5719247e-17,1.5
24,3338.653909742981,1.3654311e-17,1.5
25,3339.5269367020533,1.4227993e-17,1.5
26,3340.3999636611256,1.600923e-17,1.5
27,3341.272990620198,1.4211444e-17,1.5
28,3342.146017579271,1.3573173e-17,1.5
29,3343.019044538343,1.4580041e-17,1.5
30,3343.8920714974156,1.7545227e-17,1.5
31,3344.765098456488,1.7164267e-17,1.5
32,3345.638125415561,1.5006358e-17,1.5
33,3346.511152374633,1.4904289e-17,1.5
34,3347.3841793337056,1.4557234e-17,1.5
35,3348.257206292778,1.4043545e-17,1.5
36,3349.1302332518508,1.436748e-17,1.5
37,3350.003260210923,1.2251191e-17,1.5
38,3350.8762871699955,1.2793131e-17,1.5
39,3351.7493141290684,1.5523627e-17,1.5
40,3352.6223410881407,1.2234133e-17,1.5
41,3353.495368047213,1.6259008e-17,1.5
42,3354.3683950062855,1.431745e-17,1.5
43,3355.2414219653583,1.368788e-17,1.5
44,3356.1144489244307,1.4186854e-17,1.5
45,3356.987475883503,1.5156907e-17,1.5
46,3357.8605028425754,1.2302496e-17,1.5
47,3358.7335298016483,1.4601927e-17,1.5
48,3359.6065567607207,1.3251841e-17,1.5
49,3360.479583719793,1.4830427e-17,1.5
50,3361.3526106788654,1.4382676e-17,1.5
51,3362.2256376379382,1.4528526e-17,1.5
52,3363.0986645970106,1.4920335e-17,1.5
53,3363.971691556083,1.4710603e-17,1.5
54,3364.8447185151554,1.4563307e-17,1.5
55,3365.717745474228,1.2970182e-17,1.5
56,3366.5907724333006,1.3106273e-17,1.5
57,3367.463799392373,1.2631273e-17,1.5
58,3368.336826351446,1.3117167e-17,1.5
59,3369.209853310518,1.4008699e-17,1.5
60,3370.0828802695905,1.4474514e-17,1.5
61,3370.955907228663,1.3144999e-17,1.5
62,3371.8289341877357,1.6152043e-17,1.5
63,3372.701961146808,1.6195634e-17,1.5
64,3373.5749881058805,1.4967267e-17,1.5
65,3374.448015064953,1.6115032e-17,1.5
66,3375.3210420240257,1.4484028e-17,1.5
67,3376.194068983098,1.517483e-17,1.5
68,3377.0670959421705,1.1658546e-17,1.5
69,3377.940122901243,1.5809253e-17,1.5
70,3378.8131498603157,1.37182354e-17,1.5
71,3379.686176819388,1.4012499e-17,1.5
72,3380.5592037784604,1.3268625e-17,1.5
73,3381.432230737533,1.517088e-17,1.5
