,Wavelength,Flux,Contour Limit
0,3632.9942433277283,2.7620994e-18,1.5
1,3633.9496086594313,2.6777574e-18,1.5
2,3634.904973991134,2.4772175e-18,1.5
3,3635.860339322837,2.735846e-18,1.5
4,3636.81570465454,2.9740694e-18,1.5
5,3637.7710699862423,2.8449777e-18,1.5
6,3638.7264353179453,2.8435574e-18,1.5
7,3639.6818006496483,2.8267125e-18,1.5
8,3640.637165981351,2.8732249e-18,1.5
9,3641.5925313130538,2.6135659e-18,1.5
10,3642.5478966447567,2.3829363e-18,1.5
11,3643.5032619764593,2.264182e-18,1.5
12,3644.4586273081622,2.1576973e-18,1.5
13,3645.4139926398652,1.9343058e-18,1.5
14,3646.3693579715678,1.8163592e-18,1.5
15,3647.3247233032707,2.095861e-18,1.5
16,3648.2800886349737,1.9300006e-18,1.5
17,3649.2354539666762,1.8482927e-18,1.5
18,3650.190819298379,2.0762833e-18,1.5
19,3651.146184630082,2.1243276e-18,1.5
20,3652.1015499617847,2.2820674e-18,1.5
21,3653.0569152934877,2.2907561e-18,1.5
22,3654.0122806251907,2.7196621e-18,1.5
23,3654.967645956893,3.0513839e-18,1.5
24,3655.923011288596,2.9059376e-18,1.5
25,3656.878376620299,3.1504795e-18,1.5
26,3657.8337419520017,3.1233827e-18,1.5
27,3658.7891072837047,3.0301007e-18,1.5
28,3659.7444726154076,2.8707791e-18,1.5
29,3660.69983794711,2.7143136e-18,1.5
30,3661.655203278813,2.9153668e-18,1.5
31,3662.610568610516,3.0253347e-18,1.5
32,3663.5659339422195,3.2774873e-18,1.5
33,3664.5212992739216,3.527369e-18,1.5
34,3665.4766646056246,3.431778e-18,1.5
35,3666.432029937328,3.516627e-18,1.5
36,3667.38739526903,3.482521e-18,1.5
37,3668.342760600733,3.3433472e-18,1.5
38,3669.2981259324365,3.139448e-18,1.5
39,3670.25349126414,2.7102815e-18,1.5
40,3671.208856595842,2.7370366e-18,1.5
41,3672.164221927545,2.5551818e-18,1.5
42,3673.1195872592484,2.6232213e-18,1.5
43,3674.0749525909505,2.4614966e-18,1.5
44,3675.0303179226535,2.2323183e-18,1.5
45,3675.985683254357,2.509749e-18,1.5
46,3676.941048586059,2.4244515e-18,1.5
47,3677.896413917762,2.5087042e-18,1.5
48,3678.8517792494654,2.257211e-18,1.5
49,3679.807144581168,2.214383e-18,1.5
50,3680.7625099128704,2.283618e-18,1.5
51,3681.717875244574,2.1708282e-18,1.5
52,3682.6732405762764,2.4465668e-18,1.5
53,3683.628605907979,2.3038953e-18,1.5
54,3684.5839712396823,2.3045854e-18,1.5
55,3685.539336571385,2.330368e-18,1.5
56,3686.4947019030874,2.3759407e-18,1.5
57,3687.450067234791,2.2317651e-18,1.5
58,3688.4054325664933,2.065898e-18,1.5
59,3689.360797898196,2.3403694e-18,1.5
60,3690.3161632298993,2.6243585e-18,1.5
61,3691.271528561602,2.7512761e-18,1.5
62,3692.2268938933044,2.9066132e-18,1.5
63,3693.182259225008,2.8836217e-18,1.5
64,3694.1376245567103,2.6528818e-18,1.5
65,3695.092989888413,2.4113657e-18,1.5
66,3696.0483552201163,2.4332943e-18,1.5
67,3697.003720551819,2.4300844e-18,1.5
68,3697.9590858835213,2.5057387e-18,1.5
69,3698.9144512152247,2.6494552e-18,1.5
70,3699.8698165469273,2.855764e-18,1.5
71,3700.82518187863,2.9484117e-18,1.5
72,3701.780547210333,2.7166572e-18,1.5
73,3702.7359125420357,2.6540299e-18,1.5
