,Wavelength,Flux,Contour Limit
0,4750.28466797,1.3019493e-18,1.5
1,4751.53466797,1.7279471e-18,1.5
2,4752.78466797,1.3957279e-18,1.5
3,4754.03466797,6.394324e-19,1.5
4,4755.28466797,1.6944244e-18,1.5
5,4756.53466797,1.4502026e-18,1.5
6,4757.78466797,1.3961248e-18,1.5
7,4759.03466797,1.4148738e-18,1.5
8,4760.28466797,1.441378e-18,1.5
9,4761.53466797,5.590942e-19,1.5
10,4762.78466797,2.760901e-18,1.5
11,4764.03466797,1.8018275e-18,1.5
12,4765.28466797,1.2868215e-18,1.5
13,4766.53466797,2.0149392e-18,1.5
14,4767.78466797,2.6088656e-18,1.5
15,4769.03466797,1.6174965e-18,1.5
16,4770.28466797,1.9137012e-18,1.5
17,4771.53466797,9.514079e-19,1.5
18,4772.78466797,2.018678e-18,1.5
19,4774.03466797,2.0045528e-19,1.5
20,4775.28466797,9.306977e-19,1.5
21,4776.53466797,9.659842e-19,1.5
22,4777.78466797,8.12627e-19,1.5
23,4779.03466797,1.4660178e-18,1.5
24,4780.28466797,1.740658e-18,1.5
25,4781.53466797,1.1426668e-18,1.5
26,4782.78466797,1.0745738e-18,1.5
27,4784.03466797,1.92994e-18,1.5
28,4785.28466797,1.5260959e-18,1.5
29,4786.53466797,1.9883528e-18,1.5
30,4787.78466797,1.1107776e-18,1.5
31,4789.03466797,8.76884e-19,1.5
32,4790.28466797,1.6166492e-18,1.5
33,4791.53466797,2.459441e-18,1.5
34,4792.78466797,1.1556883e-18,1.5
35,4794.03466797,1.029568e-18,1.5
36,4795.28466797,1.1858099e-18,1.5
37,4796.53466797,1.3345516e-18,1.5
38,4797.78466797,2.6357885e-18,1.5
39,4799.03466797,1.9580438e-18,1.5
40,4800.28466797,1.8156666e-18,1.5
41,4801.53466797,1.2908347e-18,1.5
42,4802.78466797,2.5999234e-18,1.5
43,4804.03466797,1.9646336e-18,1.5
44,4805.28466797,7.676344e-19,1.5
45,4806.53466797,1.7215064e-18,1.5
46,4807.78466797,1.5177674e-18,1.5
47,4809.03466797,8.2476457e-19,1.5
48,4810.28466797,2.293888e-18,1.5
49,4811.53466797,1.645772e-18,1.5
50,4812.78466797,1.2958693e-18,1.5
51,4814.03466797,1.2256513e-18,1.5
52,4815.28466797,2.7140354e-18,1.5
53,4816.53466797,8.0037407e-19,1.5
54,4817.78466797,1.5992569e-18,1.5
55,4819.03466797,2.100867e-18,1.5
56,4820.28466797,2.1060963e-18,1.5
57,4821.53466797,1.7155099e-18,1.5
58,4822.78466797,1.1721563e-18,1.5
59,4824.03466797,8.459433e-19,1.5
60,4825.28466797,1.873674e-18,1.5
61,4826.53466797,1.1868331e-18,1.5
62,4827.78466797,1.5144548e-18,1.5
63,4829.03466797,8.996444e-19,1.5
64,4830.28466797,1.2780014e-18,1.5
65,4831.53466797,1.2192026e-18,1.5
66,4832.78466797,1.3735514e-18,1.5
67,4834.03466797,2.4095138e-18,1.5
68,4835.28466797,1.7178035e-18,1.5
69,4836.53466797,1.3188388e-18,1.5
70,4837.78466797,1.673953e-18,1.5
71,4839.03466797,1.0301622e-18,1.5
72,4840.28466797,2.323804e-18,1.5
73,4841.53466797,1.4569477e-18,1.5
74,4842.78466797,7.366444e-19,1.5
75,4844.03466797,6.1019925e-19,1.5
76,4845.28466797,7.161198e-19,1.5
77,4846.53466797,1.3018374e-18,1.5
78,4847.78466797,1.6510892e-18,1.5
79,4849.03466797,1.1941653e-18,1.5
80,4850.28466797,1.1936112e-18,1.5
81,4851.53466797,1.1450044e-18,1.5
82,4852.78466797,1.6536879e-18,1.5
83,4854.03466797,1.6628628e-18,1.5
84,4855.28466797,1.5541359e-18,1.5
85,4856.53466797,1.0364933e-18,1.5
86,4857.78466797,2.4220218e-18,1.5
87,4859.03466797,1.7261026e-18,1.5
88,4860.28466797,1.3708691e-18,1.5
89,4861.53466797,1.6118426e-18,1.5
90,4862.78466797,8.1207237e-19,1.5
91,4864.03466797,1.0510475e-18,1.5
92,4865.28466797,1.4231471e-18,1.5
93,4866.53466797,1.6754388e-18,1.5
94,4867.78466797,1.2688751e-18,1.5
95,4869.03466797,1.2260687e-18,1.5
96,4870.28466797,5.9353854e-19,1.5
97,4871.53466797,9.886267e-19,1.5
98,4872.78466797,7.6802283e-19,1.5
99,4874.03466797,1.3647496e-18,1.5
100,4875.28466797,1.4206208e-18,1.5
101,4876.53466797,1.1411903e-18,1.5
102,4877.78466797,3.6533822e-19,1.5
103,4879.03466797,1.4982864e-18,1.5
104,4880.28466797,1.6809066e-18,1.5
105,4881.53466797,1.1696836e-18,1.5
106,4882.78466797,6.850141e-19,1.5
107,4884.03466797,1.3615169e-18,1.5
108,4885.28466797,1.2234014e-18,1.5
109,4886.53466797,1.7199287e-18,1.5
110,4887.78466797,1.6400668e-18,1.5
111,4889.03466797,1.3037308e-18,1.5
112,4890.28466797,1.3089308e-18,1.5
113,4891.53466797,1.562119e-18,1.5
114,4892.78466797,1.8577676e-18,1.5
115,4894.03466797,8.331299e-19,1.5
116,4895.28466797,7.6764206e-19,1.5
117,4896.53466797,1.2340568e-18,1.5
118,4897.78466797,1.1555234e-18,1.5
119,4899.03466797,1.093032e-18,1.5
120,4900.28466797,1.7548417e-18,1.5
121,4901.53466797,1.568293e-18,1.5
122,4902.78466797,1.3928244e-18,1.5
123,4904.03466797,9.978778e-19,1.5
124,4905.28466797,7.531591e-19,1.5
125,4906.53466797,1.7739538e-18,1.5
126,4907.78466797,1.6804373e-18,1.5
127,4909.03466797,1.1870338e-18,1.5
128,4910.28466797,1.6587053e-18,1.5
129,4911.53466797,1.5015606e-18,1.5
130,4912.78466797,1.4658563e-18,1.5
131,4914.03466797,1.3157681e-18,1.5
132,4915.28466797,1.446284e-18,1.5
133,4916.53466797,7.160972e-19,1.5
134,4917.78466797,9.195711e-19,1.5
135,4919.03466797,1.0690656e-18,1.5
136,4920.28466797,1.0076027e-18,1.5
137,4921.53466797,1.7619464e-18,1.5
138,4922.78466797,1.7657696e-18,1.5
139,4924.03466797,1.3626395e-18,1.5
140,4925.28466797,1.8397767e-18,1.5
141,4926.53466797,7.751513e-19,1.5
142,4927.78466797,1.6550797e-18,1.5
143,4929.03466797,1.2567637e-18,1.5
144,4930.28466797,1.3993524e-18,1.5
145,4931.53466797,8.889714e-19,1.5
146,4932.78466797,9.525724e-19,1.5
147,4934.03466797,1.0654114e-18,1.5
148,4935.28466797,7.5487024e-19,1.5
149,4936.53466797,1.126221e-18,1.5
150,4937.78466797,1.2424732e-18,1.5
151,4939.03466797,1.4913442e-18,1.5
152,4940.28466797,1.437336e-18,1.5
153,4941.53466797,1.5974026e-18,1.5
154,4942.78466797,-3.07491e-20,1.5
155,4944.03466797,1.5781665e-18,1.5
156,4945.28466797,1.4636227e-18,1.5
157,4946.53466797,1.0074987e-18,1.5
158,4947.78466797,9.082769e-19,1.5
159,4949.03466797,7.2361243e-19,1.5
160,4950.28466797,1.008772e-18,1.5
161,4951.53466797,1.3104332e-18,1.5
162,4952.78466797,1.1232243e-18,1.5
163,4954.03466797,1.3645543e-18,1.5
164,4955.28466797,2.3130778e-18,1.5
165,4956.53466797,1.3498299e-18,1.5
166,4957.78466797,1.4673813e-18,1.5
167,4959.03466797,1.2875793e-18,1.5
168,4960.28466797,1.5956666e-18,1.5
169,4961.53466797,2.0418927e-18,1.5
170,4962.78466797,1.5902924e-18,1.5
171,4964.03466797,1.771412e-18,1.5
172,4965.28466797,2.228866e-18,1.5
173,4966.53466797,1.2759657e-18,1.5
174,4967.78466797,1.7915783e-18,1.5
175,4969.03466797,1.4028923e-18,1.5
176,4970.28466797,1.0437969e-18,1.5
177,4971.53466797,1.363767e-18,1.5
178,4972.78466797,1.0977008e-18,1.5
179,4974.03466797,1.2969354e-18,1.5
180,4975.28466797,5.6147593e-19,1.5
181,4976.53466797,1.0656365e-18,1.5
182,4977.78466797,1.2314605e-18,1.5
183,4979.03466797,1.7718248e-18,1.5
184,4980.28466797,1.2604636e-18,1.5
185,4981.53466797,1.4204637e-18,1.5
186,4982.78466797,1.812275e-18,1.5
187,4984.03466797,1.769668e-18,1.5
188,4985.28466797,1.8591989e-18,1.5
189,4986.53466797,1.0628361e-18,1.5
190,4987.78466797,1.4582003e-18,1.5
191,4989.03466797,1.0298055e-18,1.5
192,4990.28466797,1.7043274e-18,1.5
193,4991.53466797,1.6224973e-18,1.5
194,4992.78466797,1.8436818e-18,1.5
195,4994.03466797,1.376086e-18,1.5
196,4995.28466797,1.8472486e-18,1.5
197,4996.53466797,1.968025e-18,1.5
198,4997.78466797,2.0843963e-18,1.5
199,4999.03466797,9.53741e-19,1.5
200,5000.28466797,8.491383e-19,1.5
201,5001.53466797,1.495967e-18,1.5
202,5002.78466797,1.8982436e-18,1.5
203,5004.03466797,1.0227483e-18,1.5
204,5005.28466797,1.2212131e-18,1.5
205,5006.53466797,1.0174846e-18,1.5
206,5007.78466797,1.0813487e-18,1.5
207,5009.03466797,1.5726824e-18,1.5
208,5010.28466797,1.3755575e-18,1.5
209,5011.53466797,9.404227e-19,1.5
210,5012.78466797,1.4948887e-18,1.5
211,5014.03466797,1.2557215e-18,1.5
212,5015.28466797,1.1608226e-18,1.5
213,5016.53466797,1.1934466e-18,1.5
214,5017.78466797,1.2075852e-18,1.5
215,5019.03466797,1.2693588e-18,1.5
216,5020.28466797,1.092052e-18,1.5
217,5021.53466797,1.7886263e-18,1.5
218,5022.78466797,1.6008982e-18,1.5
219,5024.03466797,1.9011506e-18,1.5
220,5025.28466797,1.4120671e-18,1.5
221,5026.53466797,9.015273e-19,1.5
222,5027.78466797,2.0567935e-18,1.5
223,5029.03466797,1.8222466e-18,1.5
224,5030.28466797,1.6914852e-18,1.5
225,5031.53466797,1.6715503e-18,1.5
226,5032.78466797,1.4492359e-18,1.5
227,5034.03466797,1.1613128e-18,1.5
228,5035.28466797,1.3028975e-18,1.5
