,Wavelength,Flux,Contour Limit
0,4749.92919922,4.1479453e-19,1.5
1,4751.17919922,6.2951877e-19,1.5
2,4752.42919922,5.915997e-19,1.5
3,4753.67919922,7.898667e-19,1.5
4,4754.92919922,3.1589524e-19,1.5
5,4756.17919922,3.5160853e-19,1.5
6,4757.42919922,8.333087e-19,1.5
7,4758.67919922,1.0126853e-18,1.5
8,4759.92919922,4.812595e-19,1.5
9,4761.17919922,5.474535e-19,1.5
10,4762.42919922,9.492833e-19,1.5
11,4763.67919922,5.3326416e-19,1.5
12,4764.92919922,5.975702e-19,1.5
13,4766.17919922,1.0585542e-18,1.5
14,4767.42919922,9.979531e-19,1.5
15,4768.67919922,6.0263153e-19,1.5
16,4769.92919922,5.2534856e-19,1.5
17,4771.17919922,7.453299e-19,1.5
18,4772.42919922,9.165362e-19,1.5
19,4773.67919922,1.005008e-18,1.5
20,4774.92919922,7.63173e-19,1.5
21,4776.17919922,8.129174e-19,1.5
22,4777.42919922,8.779108e-19,1.5
23,4778.67919922,8.116491e-19,1.5
24,4779.92919922,7.725472e-19,1.5
25,4781.17919922,7.058643e-19,1.5
26,4782.42919922,1.013597e-18,1.5
27,4783.67919922,9.975121e-19,1.5
28,4784.92919922,5.2380494e-19,1.5
29,4786.17919922,9.973927e-19,1.5
30,4787.42919922,8.131218e-19,1.5
31,4788.67919922,8.3193256e-19,1.5
32,4789.92919922,8.3491036e-19,1.5
33,4791.17919922,6.627917e-19,1.5
34,4792.42919922,6.9829693e-19,1.5
35,4793.67919922,7.4162413e-19,1.5
36,4794.92919922,6.335992e-19,1.5
37,4796.17919922,6.061087e-19,1.5
38,4797.42919922,7.410646e-19,1.5
39,4798.67919922,9.143413e-19,1.5
40,4799.92919922,7.3703256e-19,1.5
41,4801.17919922,8.606271e-19,1.5
42,4802.42919922,6.6146764e-19,1.5
43,4803.67919922,8.705412e-19,1.5
44,4804.92919922,5.9755517e-19,1.5
45,4806.17919922,7.3181336e-19,1.5
46,4807.42919922,5.2458455e-19,1.5
47,4808.67919922,8.71377e-19,1.5
48,4809.92919922,8.815659e-19,1.5
49,4811.17919922,7.6965196e-19,1.5
50,4812.42919922,9.812592e-19,1.5
51,4813.67919922,7.9757913e-19,1.5
52,4814.92919922,8.3447035e-19,1.5
53,4816.17919922,8.1916094e-19,1.5
54,4817.42919922,7.85353e-19,1.5
55,4818.67919922,7.907954e-19,1.5
56,4819.92919922,4.887381e-19,1.5
57,4821.17919922,5.5859026e-19,1.5
58,4822.42919922,8.221905e-19,1.5
59,4823.67919922,6.5222953e-19,1.5
60,4824.92919922,6.7162134e-19,1.5
61,4826.17919922,9.559581e-19,1.5
62,4827.42919922,8.105574e-19,1.5
63,4828.67919922,7.994449e-19,1.5
64,4829.92919922,8.2231534e-19,1.5
65,4831.17919922,8.402094e-19,1.5
66,4832.42919922,7.12825e-19,1.5
67,4833.67919922,5.6690275e-19,1.5
68,4834.92919922,8.2787994e-19,1.5
69,4836.17919922,9.242913e-19,1.5
70,4837.42919922,6.994009e-19,1.5
