,Wavelength,Flux,Contour Limit
0,4753.054199220001,5.155472e-19,1.5
1,4754.304199220001,5.852996e-19,1.5
2,4755.554199220001,6.4916075e-19,1.5
3,4756.804199220001,6.3077066e-19,1.5
4,4758.054199220001,5.9036847e-19,1.5
5,4759.304199220001,6.9593316e-19,1.5
6,4760.554199220001,7.262091e-19,1.5
7,4761.804199220001,6.8691937e-19,1.5
8,4763.054199220001,6.945641e-19,1.5
9,4764.304199220001,7.8067967e-19,1.5
10,4765.554199220001,7.8987616e-19,1.5
11,4766.804199220001,7.192203e-19,1.5
12,4768.054199220001,7.5456455e-19,1.5
13,4769.304199220001,8.077256e-19,1.5
14,4770.554199220001,7.9880113e-19,1.5
15,4771.804199220001,7.5967115e-19,1.5
16,4773.054199220001,7.947189e-19,1.5
17,4774.304199220001,8.534792e-19,1.5
18,4775.554199220001,8.645324e-19,1.5
19,4776.804199220001,8.405342e-19,1.5
20,4778.054199220001,7.906769e-19,1.5
21,4779.304199220001,8.3241424e-19,1.5
22,4780.554199220001,8.631801e-19,1.5
23,4781.804199220001,8.0416245e-19,1.5
24,4783.054199220001,8.3511974e-19,1.5
25,4784.304199220001,8.4188215e-19,1.5
26,4785.554199220001,8.6289357e-19,1.5
27,4786.804199220001,8.331124e-19,1.5
28,4788.054199220001,7.7732566e-19,1.5
29,4789.304199220001,8.064076e-19,1.5
30,4790.554199220001,7.6377955e-19,1.5
31,4791.804199220001,7.338592e-19,1.5
32,4793.054199220001,6.9622184e-19,1.5
33,4794.304199220001,6.805809e-19,1.5
34,4795.554199220001,7.2250587e-19,1.5
35,4796.804199220001,7.2896165e-19,1.5
36,4798.054199220001,7.487956e-19,1.5
37,4799.304199220001,7.5344036e-19,1.5
38,4800.554199220001,7.975124e-19,1.5
39,4801.804199220001,7.735942e-19,1.5
40,4803.054199220001,7.431728e-19,1.5
41,4804.304199220001,7.077649e-19,1.5
42,4805.554199220001,7.095565e-19,1.5
43,4806.804199220001,7.462395e-19,1.5
44,4808.054199220001,7.2942467e-19,1.5
45,4809.304199220001,7.9337534e-19,1.5
46,4810.554199220001,8.043363e-19,1.5
47,4811.804199220001,8.5598387e-19,1.5
48,4813.054199220001,8.4728126e-19,1.5
49,4814.304199220001,8.312458e-19,1.5
50,4815.554199220001,8.3476963e-19,1.5
51,4816.804199220001,7.526828e-19,1.5
52,4818.054199220001,7.128513e-19,1.5
53,4819.304199220001,7.1080473e-19,1.5
54,4820.554199220001,6.8298277e-19,1.5
55,4821.804199220001,6.640275e-19,1.5
56,4823.054199220001,6.9155463e-19,1.5
57,4824.304199220001,7.4519114e-19,1.5
58,4825.554199220001,7.853336e-19,1.5
59,4826.804199220001,7.853545e-19,1.5
60,4828.054199220001,8.1668436e-19,1.5
61,4829.304199220001,8.235516e-19,1.5
62,4830.554199220001,7.5870913e-19,1.5
63,4831.804199220001,7.615962e-19,1.5
64,4833.054199220001,7.8240393e-19,1.5
65,4834.304199220001,7.619183e-19,1.5
66,4835.554199220001,7.454214e-19,1.5
67,4836.804199220001,7.309813e-19,1.5
68,4838.054199220001,7.545026e-19,1.5
69,4839.304199220001,7.582517e-19,1.5
70,4840.554199220001,6.974059e-19,1.5
71,4841.804199220001,6.5760864e-19,1.5
72,4843.054199220001,5.943891e-19,1.5
73,4844.304199220001,5.815295e-19,1.5
74,4845.554199220001,5.536121e-19,1.5
75,4846.804199220001,5.1649406e-19,1.5
76,4848.054199220001,5.294806e-19,1.5
77,4849.304199220001,5.9097443e-19,1.5
78,4850.554199220001,6.912321e-19,1.5
79,4851.804199220001,7.1703634e-19,1.5
80,4853.054199220001,7.34356e-19,1.5
81,4854.304199220001,8.0152886e-19,1.5
82,4855.554199220001,7.8854714e-19,1.5
83,4856.804199220001,7.042371e-19,1.5
84,4858.054199220001,6.209398e-19,1.5
85,4859.304199220001,6.233013e-19,1.5
86,4860.554199220001,6.287685e-19,1.5
87,4861.804199220001,5.612878e-19,1.5
88,4863.054199220001,6.1089403e-19,1.5
89,4864.304199220001,7.141279e-19,1.5
90,4865.554199220001,7.5744955e-19,1.5
91,4866.804199220001,7.501999e-19,1.5
92,4868.054199220001,7.490937e-19,1.5
93,4869.304199220001,7.293783e-19,1.5
94,4870.554199220001,6.8157816e-19,1.5
95,4871.804199220001,6.308329e-19,1.5
96,4873.054199220001,6.0801937e-19,1.5
97,4874.304199220001,5.257688e-19,1.5
98,4875.554199220001,4.827581e-19,1.5
99,4876.804199220001,5.0927613e-19,1.5
100,4878.054199220001,5.1196333e-19,1.5
101,4879.304199220001,5.321424e-19,1.5
102,4880.554199220001,5.73988e-19,1.5
103,4881.804199220001,6.399596e-19,1.5
104,4883.054199220001,6.343075e-19,1.5
105,4884.304199220001,6.2908445e-19,1.5
106,4885.554199220001,6.7010584e-19,1.5
107,4886.804199220001,6.8756354e-19,1.5
108,4888.054199220001,6.6647943e-19,1.5
109,4889.304199220001,7.080776e-19,1.5
110,4890.554199220001,7.6787233e-19,1.5
111,4891.804199220001,7.8584976e-19,1.5
112,4893.054199220001,7.394748e-19,1.5
113,4894.304199220001,7.203503e-19,1.5
114,4895.554199220001,7.26831e-19,1.5
115,4896.804199220001,6.823146e-19,1.5
116,4898.054199220001,6.9023926e-19,1.5
117,4899.304199220001,7.1836867e-19,1.5
118,4900.554199220001,7.633998e-19,1.5
119,4901.804199220001,6.9835256e-19,1.5
120,4903.054199220001,6.7375846e-19,1.5
121,4904.304199220001,6.6829493e-19,1.5
122,4905.554199220001,6.099533e-19,1.5
123,4906.804199220001,5.835583e-19,1.5
124,4908.054199220001,5.5172683e-19,1.5
125,4909.304199220001,6.010454e-19,1.5
126,4910.554199220001,6.078495e-19,1.5
127,4911.804199220001,6.415819e-19,1.5
128,4913.054199220001,6.891171e-19,1.5
129,4914.304199220001,6.8035383e-19,1.5
130,4915.554199220001,6.786063e-19,1.5
131,4916.804199220001,6.891237e-19,1.5
132,4918.054199220001,7.0870545e-19,1.5
133,4919.304199220001,6.9259517e-19,1.5
134,4920.554199220001,6.6651324e-19,1.5
135,4921.804199220001,6.833261e-19,1.5
136,4923.054199220001,7.0748515e-19,1.5
137,4924.304199220001,7.0368275e-19,1.5
138,4925.554199220001,7.314438e-19,1.5
139,4926.804199220001,7.442287e-19,1.5
140,4928.054199220001,7.872356e-19,1.5
141,4929.304199220001,7.8112325e-19,1.5
142,4930.554199220001,7.919096e-19,1.5
143,4931.804199220001,8.273721e-19,1.5
144,4933.054199220001,8.2266467e-19,1.5
145,4934.304199220001,8.6286244e-19,1.5
146,4935.554199220001,8.281278e-19,1.5
147,4936.804199220001,8.646821e-19,1.5
148,4938.054199220001,8.958746e-19,1.5
149,4939.304199220001,8.731689e-19,1.5
150,4940.554199220001,8.640175e-19,1.5
151,4941.804199220001,8.1091674e-19,1.5
152,4943.054199220001,8.3905836e-19,1.5
153,4944.304199220001,8.3456914e-19,1.5
154,4945.554199220001,7.9991534e-19,1.5
155,4946.804199220001,8.105866e-19,1.5
156,4948.054199220001,7.473927e-19,1.5
157,4949.304199220001,7.8172843e-19,1.5
158,4950.554199220001,7.928127e-19,1.5
159,4951.804199220001,7.735807e-19,1.5
160,4953.054199220001,7.5924897e-19,1.5
161,4954.304199220001,7.4910986e-19,1.5
162,4955.554199220001,7.9138024e-19,1.5
163,4956.804199220001,8.082583e-19,1.5
164,4958.054199220001,8.048269e-19,1.5
165,4959.304199220001,7.916739e-19,1.5
166,4960.554199220001,7.8937903e-19,1.5
167,4961.804199220001,7.6365e-19,1.5
168,4963.054199220001,7.5196947e-19,1.5
169,4964.304199220001,7.7658895e-19,1.5
170,4965.554199220001,8.4481946e-19,1.5
171,4966.804199220001,8.53223e-19,1.5
172,4968.054199220001,8.566671e-19,1.5
173,4969.304199220001,8.727385e-19,1.5
174,4970.554199220001,8.973854e-19,1.5
175,4971.804199220001,8.4392254e-19,1.5
176,4973.054199220001,7.597941e-19,1.5
177,4974.304199220001,7.5116463e-19,1.5
178,4975.554199220001,7.5536577e-19,1.5
179,4976.804199220001,7.884436e-19,1.5
180,4978.054199220001,8.3561884e-19,1.5
181,4979.304199220001,8.4766217e-19,1.5
182,4980.554199220001,8.4157335e-19,1.5
183,4981.804199220001,8.794496e-19,1.5
184,4983.054199220001,9.031765e-19,1.5
185,4984.304199220001,8.883811e-19,1.5
186,4985.554199220001,8.395734e-19,1.5
187,4986.804199220001,8.1983427e-19,1.5
188,4988.054199220001,7.8193895e-19,1.5
189,4989.304199220001,6.7193096e-19,1.5
190,4990.554199220001,6.5371675e-19,1.5
191,4991.804199220001,6.3120183e-19,1.5
192,4993.054199220001,5.6740325e-19,1.5
193,4994.304199220001,5.5046016e-19,1.5
194,4995.554199220001,5.7451266e-19,1.5
195,4996.804199220001,6.3387404e-19,1.5
196,4998.054199220001,6.116759e-19,1.5
197,4999.304199220001,5.922137e-19,1.5
198,5000.554199220001,6.737972e-19,1.5
199,5001.804199220001,6.888231e-19,1.5
200,5003.054199220001,7.1808066e-19,1.5
201,5004.304199220001,7.1169074e-19,1.5
202,5005.554199220001,7.735352e-19,1.5
203,5006.804199220001,8.3697733e-19,1.5
204,5008.054199220001,7.9352e-19,1.5
205,5009.304199220001,8.183748e-19,1.5
206,5010.554199220001,7.97026e-19,1.5
207,5011.804199220001,8.1957924e-19,1.5
208,5013.054199220001,8.113899e-19,1.5
209,5014.304199220001,7.688087e-19,1.5
210,5015.554199220001,8.0614153e-19,1.5
